Te_Subseus,Entitat,Titularitat,Tipus_Equipament,Id_Seu_Principal,Es_subseu_de,Notes_Equipament,Nom_Districte,Id_Equipament,Es_seu_principal,Nom_Barri,Codi_Districte,Nom_Equipament,Codi_Barri,Latitud,_id,Longitud
NO,Assoc. de Veïns Font de la Guatlla-Magòria,Ajuntament de Barcelona,Centres cívics,,,,Sants-Montjuïc,265,1,la Font de la Guatlla,3,Centre Cívic Font de la Guatlla,14,41.370560397,112,2.147508546
NO,Calaix de Cultura,Ajuntament de Barcelona,Centres cívics,,,,Eixample,255,1,el Fort Pienc,2,Centre Cívic Fort Pienc,5,41.395557419,113,2.182446362
NO,Calaix de Cultura,Ajuntament de Barcelona,Centres cívics,,,,Eixample,256,1,la Nova Esquerra de l'Eixample,2,Centre Cívic Golferichs,9,41.380813341,114,2.156392101
NO,PROGESS,Ajuntament de Barcelona,Centres cívics,,,,Horta-Guinardó,284,1,el Guinardó,7,Centre Cívic Guinardó,35,41.416056397,115,2.173322891
NO,Club Lleuresport,Ajuntament de Barcelona,Centres cívics,,,,Les Corts,269,1,la Maternitat i Sant Ramon,4,Centre Cívic Joan Oliver - Pere Quart,20,41.379302926,116,2.127757703
NO,Club Lleuresport,Ajuntament de Barcelona,Centres cívics,,,,Les Corts,271,1,la Maternitat i Sant Ramon,4,Centre Cívic Josep M. Trias i Peitx - Riera Blanca,20,41.377780128,117,2.121762772
NO,Calaix de Cultura,Ajuntament de Barcelona,Centres cívics,,,,Sarrià-Sant Gervasi,275,1,"Vallvidrera, el Tibidabo i les Planes",5,Centre Cívic l'Elèctric,22,41.419137960,118,2.097871834
NO,Unió d'Entitats de la Marina,Ajuntament de Barcelona,Centres cívics,,,,Sants-Montjuïc,266,1,la Marina de Port,3,Centre Cívic La Cadena,13,41.364156288,119,2.139067245
NO,Calaix de Cultura,Ajuntament de Barcelona,Centres cívics,,,,Eixample,258,1,la Dreta de l'Eixample,2,Centre Cívic La Casa Elizalde,7,41.394483818,120,2.165880676
NO,Club Lleuresport,Ajuntament de Barcelona,Centres cívics,,,,Sant Andreu,293,1,la Sagrera,9,Centre Cívic La Sagrera,61,41.423942321,121,2.189139414
NO,Relleu Cultural,Ajuntament de Barcelona,Centres cívics,,,,Gràcia,281,1,el Camp d'en Grassot i Gràcia Nova,6,Centre Cívic La Sedeta,32,41.405548940,122,2.167665468
NO,Ajuntament de Barcelona,Ajuntament de Barcelona,Centres cívics,,,,Horta-Guinardó,286,1,Horta,7,Centre Cívic Matas i Ramis,43,41.432755073,123,2.160711473
NO,Club Lleuresport,Ajuntament de Barcelona,Centres cívics,,,,Sant Andreu,294,1,Navas,9,Centre Cívic Navas,63,41.416904706,124,2.184919133
NO,Trànsit Projectes,Ajuntament de Barcelona,Centres cívics,,,,Ciutat Vella,254,1,el Barri Gòtic,1,Centre Cívic Pati Llimona,2,41.381635545,125,2.179176281
NO,Calaix de Cultura,Ajuntament de Barcelona,Centres cívics,,,,Sarrià-Sant Gervasi,276,1,Sant Gervasi - la Bonanova,5,Centre Cívic Pere Pruna,25,41.403181601,126,2.131302875
NO,Trànsit Projectes,Ajuntament de Barcelona,Centres cívics,,,,Eixample,259,1,la Sagrada Família,2,Centre Cívic Sagrada Família,6,41.405380126,127,2.176760148
NO,Ajuntament de Barcelona,Ajuntament de Barcelona,Centres cívics,,,,Sant Andreu,295,1,Sant Andreu,9,Centre Cívic Sant Andreu,60,41.430852888,128,2.189400581
NO,Trànsit Projectes,Ajuntament de Barcelona,Centres cívics,,,,Sant Martí,300,1,Sant Martí de Provençals,10,Centre Cívic Sant Martí,72,41.416622171,129,2.198563813
NO,QSL Serveis Culturals,Ajuntament de Barcelona,Centres cívics,,,,Sarrià-Sant Gervasi,277,1,Sarrià,5,Centre Cívic Sarrià,23,41.393871979,130,2.121163587
NO,QSL Serveis Culturals,Ajuntament de Barcelona,Centres cívics,,,,Horta-Guinardó,285,1,la Teixonera,7,Centre Cívic Teixonera,38,41.422637884,131,2.144554558
NO,PROGESS,Ajuntament de Barcelona,Centres cívics,,,,Les Corts,270,1,les Corts,4,Centre Cívic Tomasa Cuevas - Les Corts,19,41.384783744,132,2.128318397
NO,Esport3 Serveis Alternatius,Ajuntament de Barcelona,Centres cívics,,,,Nou Barris,289,1,Vilapicina i la Torre Llobeta,8,Centre Cívic Torre Llobeta,44,41.426896898,133,2.173951442
NO,Calaix de Cultura,Ajuntament de Barcelona,Centres cívics,,,,Sant Andreu,296,1,la Trinitat Vella,9,Centre Cívic Trinitat Vella,57,41.451618627,134,2.191189600
NO,Calaix de Cultura,Ajuntament de Barcelona,Centres cívics,,,,Eixample,260,1,la Nova Esquerra de l'Eixample,2,Centre Cívic Urgell,9,41.386861397,135,2.152032146
NO,Calaix de Cultura,Ajuntament de Barcelona,Centres cívics,,,,Sarrià-Sant Gervasi,278,1,"Vallvidrera, el Tibidabo i les Planes",5,Centre Cívic Vallvidrera Vázquez Montalbán,22,41.415364217,136,2.102530794
NO,Reial Cercle Artístic,Titularitat privada,Ateneus,,,,Ciutat Vella,425,1,el Barri Gòtic,1,Reial Cercle Artístic,2,41.3846867,292,2.174380000000042
NO,QSL Serveis Culturals,Ajuntament de Barcelona,Centres cívics,,,,Sarrià-Sant Gervasi,279,1,Sant Gervasi - la Bonanova,5,Centre Cívic Vil·la Florida,25,41.405337410,137,2.135294028
NO,Trànsit Projectes,Ajuntament de Barcelona,Centres cívics,,,,Sarrià-Sant Gervasi,447,1,el Putxet i el Farró,5,Centre Cívic Vil·la Urània,27,41.3986429,138,2.14276
NO,Trànsit Projectes,Ajuntament de Barcelona,Centres cívics,,,,Nou Barris,290,1,Ciutat Meridiana,8,Centre Cívic Zona Nord,55,41.461113806,139,2.177397304
NO,Centre Comarcal Lleidatà,Titularitat privada,Ateneus,,,,Eixample,449,1,la Dreta de l'Eixample,2,Centre Comarcal Lleidatà,7,41.3863747,140,2.1646697
NO,Calaix de Cultura,Ajuntament de Barcelona,Centres cívics,,,,Sants-Montjuïc,267,1,el Poble Sec,3,Centre Cultural Albareda,11,41.373999934,141,2.173269239
NO,Centre Cultural Els Catalanistes,Titularitat privada,Ateneus,,,,Sant Andreu,438,1,Sant Andreu,9,Centre Cultural els Catalanistes,60,41.432009,142,2.1913912
NO,Centre Cultural Els Propis,Titularitat privada,Ateneus,,,,Nou Barris,428,1,Verdun,8,Centre Cultural Els Propis,51,41.4452378,143,2.1789977
NO,Fed. Entitats Clot Camp Arpa,Ajuntament de Barcelona,Centres cívics,,,,Sant Martí,301,1,el Clot,10,Centre Cultural la Farinera del Clot,65,41.404913599,144,2.188442671
NO,Centre Cultural Sant Vicenç de Sarrià,Titularitat privada,Ateneus,,,,Sarrià-Sant Gervasi,415,1,Sarrià,5,Centre Cultural Sant Vicenç de Sarrià,23,41.400585,145,2.1207044000000224
NO,Assoc. de la Imatgeria Festiva del Poblenou,Ajuntament de Barcelona,Cases de la Festa,,,,Sant Martí,461,1,el Poblenou,10,Centre d'Imatgeria Festiva de Sant Martí - Can Sal,68,41.40157412252128,146,2.2045472261774126
NO,Centre de Cultura Contemporània de Barcelona (CCCB),Consorci o fundació amb presència administracions públiques,Centres d'exposicions,,,,Ciutat Vella,57,1,el Raval,1,Centre de Cultura Contemporània de Barcelona. CCCB,1,41.383883057,147,2.166795152
NO,Ajuntament de Barcelona,Ajuntament de Barcelona,Cases de la Festa,,,,Sant Andreu,460,1,Sant Andreu,9,Centre de Cultura Popular de Sant Andreu,60,41.440796263112944,148,2.1877800550148336
NO,Diputació de Barcelona,Altres administracions públiques,Arxius i biblioteques patrimonials,,,,Sants-Montjuïc,250,1,el Poble Sec,3,Centre de Doc. i Museu de les Arts Escèniques,11,41.370647908,149,2.157431333
NO,Centre Moral i Cultural del Poblenou,Titularitat privada,Ateneus,,,,Sant Martí,416,1,el Poblenou,10,Centre Moral i Cultural del Poblenou,68,41.401115,150,2.200169800000026
NO,Centre Moral Instructiu de Gràcia,Titularitat privada,Ateneus,,,,Gràcia,417,1,la Vila de Gràcia,6,Centre Moral i Instructiu de Gràcia,31,41.4010837,151,2.15471320000006
NO,Centre Sant Pere Apòstol,Titularitat privada,Ateneus,,,,Ciutat Vella,418,1,"Sant Pere, Santa Caterina i la Ribera",1,Centre Sant Pere 1892,4,41.3881272,152,2.1762837999999647
NO,Cercle Catòlic de Gràcia,Titularitat privada,Ateneus,,,,Gràcia,419,1,la Vila de Gràcia,6,Cercle Catòlic de Gràcia,31,41.4037318,153,2.152953000000025
NO,Mònica Escrivà i Pedrol,Titularitat privada,Cinemes,,,,Ciutat Vella,339,1,el Barri Gòtic,1,Cinema Maldà,2,41.383570271,154,2.173149870
NO,Cinemes Girona,Titularitat privada,Cinemes,,,,Eixample,340,1,la Dreta de l'Eixample,2,Cinemes Girona,7,41.399596039,155,2.164612168
NO,Cinesa Compañía de Iniciativas y Espectáculos,Titularitat privada,Cinemes,,,,Sarrià-Sant Gervasi,343,1,Sant Gervasi - Galvany,5,Cinesa Diagonal,26,41.394268940,156,2.137358643
NO,Cinesa Compañía de Iniciativas y Espectáculos,Titularitat privada,Cinemes,,,,Sant Martí,344,1,Diagonal Mar i el Front Marítim del Poblenou,10,Cinesa Diagonal Mar,69,41.410974400,157,2.218580826
NO,Cinesa Compañía de Iniciativas y Espectáculos,Titularitat privada,Cinemes,,,,Sant Andreu,342,1,el Bon Pastor,9,Cinesa La Maquinista,59,41.442744917,158,2.200222125
NO,Cinesa Compañía de Iniciativas y Espectáculos,Titularitat privada,Cinemes,,,,Nou Barris,471,1,Porta,8,Cinesa Som Multiespai,45,41.43544,159,2.18078
NO,Edificios y Espectáculos. Grup Balañá,Titularitat privada,Sales d'arts escèniques,,,,Eixample,123,1,la Dreta de l'Eixample,2,Coliseum,7,41.388275,160,2.166088
NO,"Fundació Bancària Caixa d'Estalvis i Pensions de Barcelona, ""la Caixa""",Titularitat privada,Museus i col·leccions,,,,Sarrià-Sant Gervasi,47,1,Sant Gervasi - la Bonanova,5,CosmoCaixa,25,41.413267367,161,2.130658424
NO,Eix 49,Titularitat privada,Sales d'arts escèniques,,,,Sants-Montjuïc,457,1,el Poble Sec,3,Dau al Sec,11,41.3713037,162,2.1648109
NO,Institut de Cultura. Ajuntament de Barcelona,Ajuntament de Barcelona,Centres d'exposicions,4,Disseny Hub Barcelona. DHub,,Sant Andreu,200,0,Sant Andreu,9,DHub. Casa Bloc,60,41.440944620,163,2.190335733
