Codi_Barri,Nom_Barri,Id_Equipament,Nom_Equipament,Tipus_Equipament
70,el Besòs i el Maresme,19,Museu de Ciències Naturals de Barcelona. MCNB,Museus i col·leccions
2,el Barri Gòtic,46,Museu de l'Eròtica,Museus i col·leccions
5,el Fort Pienc,31,Museu de la Música,Museus i col·leccions
4,"Sant Pere, Santa Caterina i la Ribera",42,Museu de la Xocolata,Museus i col·leccions
20,la Maternitat i Sant Ramon,44,Museu del Futbol Club Barcelona,Museus i col·leccions
7,la Dreta de l'Eixample,41,Museu del Modernisme de Barcelona,Museus i col·leccions
22,"Vallvidrera, el Tibidabo i les Planes",35,Museu dels Autòmats del Tibidabo,Museus i col·leccions
7,la Dreta de l'Eixample,43,Museu Egipci de Barcelona,Museus i col·leccions
11,el Poble Sec,370,Museu Etnològic i de Cultures del Món. MUEC,Museus i col·leccions
4,"Sant Pere, Santa Caterina i la Ribera",227,Museu Europeu d'Art Modern. MEAM,Museus i col·leccions
2,el Barri Gòtic,2,Museu Frederic Marès,Museus i col·leccions
1,el Raval,32,Museu Marítim de Barcelona. MMB,Museus i col·leccions
11,el Poble Sec,33,Museu Olímpic i de l'Esport Joan Antoni Samaranch,Museus i col·leccions
4,"Sant Pere, Santa Caterina i la Ribera",1,Museu Picasso,Museus i col·leccions
7,la Dreta de l'Eixample,30,Museu Tàpies,Museus i col·leccions
61,la Sagrera,141,Nau Ivanow,Fàbriques de Creació
31,la Vila de Gràcia,441,Nota 79,Sales de música en viu
65,el Clot,424,Orfeó Martinenc,Ateneus
4,"Sant Pere, Santa Caterina i la Ribera",194,Palau de la Música Catalana,Grans auditoris
1,el Raval,51,Palau Güell,Espais d'interès patrimonial
7,la Dreta de l'Eixample,59,Palau Robert,Centres d'exposicions
1,el Raval,495,Paral·lel 62,Sales de música en viu
30,la Salut,382,Park Güell,Espais d'interès patrimonial
11,el Poble Sec,50,Pavelló Mies van der Rohe,Espais d'interès patrimonial
6,la Sagrada Família,384,Phenomena,Cinemes
66,el Parc i la Llacuna del Poblenou,174,Razzmatazz,Sales de música en viu
35,el Guinardó,368,Recinte Modernista de Sant Pau,Espais d'interès patrimonial
21,Pedralbes,230,Reial Monestir de Santa Maria de Pedralbes,Museus i col·leccions
10,Sant Antoni,358,Renoir Floridablanca,Cinemes
10,Sant Antoni,481,Sala Aquarel·la,Sales d'arts escèniques
4,"Sant Pere, Santa Caterina i la Ribera",439,Sala Ars Teatre,Sales d'arts escèniques
7,la Dreta de l'Eixample,217,Sala Atrium,Sales d'arts escèniques
1,el Raval,492,Sala B,Sales de música en viu
68,el Poblenou,142,Sala Beckett,Fàbriques de Creació
68,el Poblenou,401,Sala Bóveda,Sales de música en viu
7,la Dreta de l'Eixample,220,Sala City Hall,Sales de música en viu
1,el Raval,374,Sala Fènix,Sales d'arts escèniques
18,Sants,375,Sala Flyhard,Sales d'arts escèniques
11,el Poble Sec,400,Sala Plataforma,Sales de música en viu
18,Sants,458,Sala Taro,Sales de música en viu
11,el Poble Sec,446,Sala Upload Barcelona (Poble Espanyol),Sales de música en viu
5,el Fort Pienc,147,Sala Versus Glòries,Sales d'arts escèniques
1,el Raval,58,Santa Mònica,Centres d'exposicions
60,Sant Andreu,192,saT! Sant Andreu Teatre,Sales d'arts escèniques
2,el Barri Gòtic,178,Sidecar Factory Club,Sales de música en viu
18,Sants,487,Sinestesia,Sales de música en viu
8,l'Antiga Esquerra de l'Eixample,402,Slow Barcelona,Sales de música en viu
19,les Corts,426,Societat Coral l'Espiga de Les Corts,Ateneus
60,Sant Andreu,427,Societat Cultural i Esportiva La Lira,Ateneus
31,la Vila de Gràcia,442,Soda Acústic,Sales de música en viu
11,el Poble Sec,488,Tablao de Carmen,Sales de música en viu
1,el Raval,489,Tablao Flamenco Cordobés,Sales de música en viu
1,el Raval,491,Taller de Músics 24,Sales de música en viu
2,el Barri Gòtic,179,Tarantos,Sales de música en viu
8,l'Antiga Esquerra de l'Eixample,233,Teatre Akadèmia,Sales d'arts escèniques
11,el Poble Sec,128,Teatre Apolo,Sales d'arts escèniques
4,"Sant Pere, Santa Caterina i la Ribera",129,Teatre Borràs,Sales d'arts escèniques
11,el Poble Sec,130,Teatre Condal,Sales d'arts escèniques
9,la Nova Esquerra de l'Eixample,216,Teatre Cúpula Arenas Barcelona,Sales d'arts escèniques
1,el Raval,144,Teatre del Raval,Sales d'arts escèniques
7,la Dreta de l'Eixample,436,Teatre Eòlia,Sales d'arts escèniques
6,la Sagrada Família,165,Teatre Gaudí Barcelona,Sales d'arts escèniques
1,el Raval,131,Teatre Goya,Sales d'arts escèniques
11,el Poble Sec,221,Teatre Grec,Sales d'arts escèniques
1,el Raval,455,Teatre La Biblioteca,Sales d'arts escèniques
11,el Poble Sec,204,Teatre Lliure,Sales d'arts escèniques
31,la Vila de Gràcia,202,Teatre Lliure (Gràcia),Sales d'arts escèniques
11,el Poble Sec,480,Teatre Metamorfosis,Sales d'arts escèniques
5,el Fort Pienc,153,Teatre Nacional de Catalunya,Sales d'arts escèniques
1,el Raval,132,Teatre Poliorama,Sales d'arts escèniques
1,el Raval,133,Teatre Romea,Sales d'arts escèniques
1,el Raval,247,Teatre Tantarantana,Fàbriques de Creació
7,la Dreta de l'Eixample,134,Teatre Tívoli,Sales d'arts escèniques
31,la Vila de Gràcia,156,Teatreneu,Sales d'arts escèniques
31,la Vila de Gràcia,356,Verdi Multicines,Cinemes
31,la Vila de Gràcia,360,Verdi Park,Cinemes
66,el Parc i la Llacuna del Poblenou,180,Vol,Sales de música en viu
66,el Parc i la Llacuna del Poblenou,490,Wolf Barcelona,Sales de música en viu
7,la Dreta de l'Eixample,472,Yelmo Cines Comedia,Cinemes
67,la Vila Olímpica del Poblenou,361,Yelmo Cines Icària,Cinemes
4,"Sant Pere, Santa Caterina i la Ribera",34,Zoo de Barcelona,Museus i col·leccions
15,Hostafrancs,362,Zumzeig Cinecooperativa,Cinemes
