addresses_neighborhood_id,addresses_neighborhood_name,secondary_filters_name,created,modified
2,el Barri Gòtic,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:07.902212
7,la Dreta de l'Eixample,Pensions,1996-09-18T00:00:00,2023-10-03T10:17:44.552880
20,la Maternitat i Sant Ramon,Pensions,1996-09-18T00:00:00,2023-10-03T10:44:59.212597
1,el Raval,Pensions,1996-09-18T00:00:00,2023-10-03T10:02:55.692547
31,la Vila de Gràcia,Pensions,1996-09-18T00:00:00,2023-10-03T10:40:57.962262
1,el Raval,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:08.185727
2,el Barri Gòtic,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:21.343960
1,el Raval,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:24.719324
2,el Barri Gòtic,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:24.938669
1,el Raval,Pensions,1988-06-06T00:00:00,2022-09-17T04:37:26.937431
4,"Sant Pere, Santa Caterina i la Ribera",Pensions,1996-09-18T00:00:00,2023-10-03T10:03:13.935989
2,el Barri Gòtic,Pensions,1986-01-03T00:00:00,2022-09-17T04:56:41.913242
7,la Dreta de l'Eixample,Pensions,1984-05-30T00:00:00,2022-09-17T04:56:41.897034
2,el Barri Gòtic,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:20.479736
6,la Sagrada Família,Pensions,1996-09-17T00:00:00,2023-10-03T10:18:45.716948
2,el Barri Gòtic,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:17.806450
31,la Vila de Gràcia,Pensions,1998-05-14T00:00:00,2022-09-17T05:39:54.690801
1,el Raval,Pensions,2015-07-23T11:25:36,2022-09-17T08:24:56.242069
2,el Barri Gòtic,Pensions,2015-07-23T11:55:40,2022-09-17T08:24:57.026609
2,el Barri Gòtic,Pensions,2015-07-23T13:04:33,2022-09-17T08:25:01.687973
7,la Dreta de l'Eixample,Pensions,2015-07-23T13:26:01,2022-09-17T08:25:03.598432
7,la Dreta de l'Eixample,Pensions,2015-07-23T14:11:25,2022-09-17T08:25:06.679842
7,la Dreta de l'Eixample,Pensions,2015-07-23T14:14:31,2022-09-17T08:25:06.722162
7,la Dreta de l'Eixample,Pensions,2015-07-27T10:05:00,2022-09-17T08:25:44.871301
19,les Corts,Pensions,2015-07-23T12:26:30,2022-09-17T08:24:58.198600
2,el Barri Gòtic,Pensions,1998-07-18T00:00:00,2023-10-03T10:02:41.860769
7,la Dreta de l'Eixample,Pensions,2015-07-23T13:17:27,2022-09-17T08:25:01.859084
7,la Dreta de l'Eixample,Pensions,2015-07-23T13:21:09,2022-09-17T08:25:02.785253
7,la Dreta de l'Eixample,Pensions,2015-07-23T14:30:08,2022-09-17T08:25:08.803308
2,el Barri Gòtic,Pensions,2015-07-23T14:44:36,2022-09-17T08:25:08.942946
2,el Barri Gòtic,Pensions,1996-09-18T00:00:00,2023-10-03T10:02:56.084253
31,la Vila de Gràcia,Pensions,2015-07-30T18:40:39,2022-09-17T08:26:20.605284
7,la Dreta de l'Eixample,Pensions,2015-07-22T11:41:39,2022-09-17T08:24:22.872587
64,el Camp de l'Arpa del Clot,Pensions,2015-07-22T11:46:13,2022-09-17T08:24:25.560654
16,la Bordeta,Pensions,2015-07-22T12:01:19,2022-09-17T08:24:28.506746
4,"Sant Pere, Santa Caterina i la Ribera",Pensions,1998-11-28T00:00:00,2023-10-03T10:02:40.887265
32,el Camp d'en Grassot i Gràcia Nova,Pensions,2000-11-15T00:00:00,2022-09-17T02:20:17.708875
10,Sant Antoni,Pensions,2015-07-22T12:53:58,2022-09-17T08:24:34.538967
8,l'Antiga Esquerra de l'Eixample,Pensions,2015-07-22T13:38:14,2022-09-17T08:24:39.728512
7,la Dreta de l'Eixample,Pensions,2015-07-22T14:07:09,2022-09-17T08:24:41.859578
11,el Poble-sec,Pensions,2015-07-23T09:26:03,2022-09-17T08:24:50.508452
4,"Sant Pere, Santa Caterina i la Ribera",Pensions,2015-07-23T09:31:05,2022-09-17T08:24:51.934776
11,el Poble-sec,Pensions,1996-09-18T00:00:00,2023-10-03T10:39:31.156334
1,el Raval,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:22.630306
1,el Raval,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:24.570283
7,la Dreta de l'Eixample,Pensions,1996-09-18T00:00:00,2023-10-03T10:18:17.690660
2,el Barri Gòtic,Pensions,1996-09-18T00:00:00,2023-10-03T10:03:32.254375
4,"Sant Pere, Santa Caterina i la Ribera",Pensions,1996-09-18T00:00:00,2023-10-03T10:03:48.998639
8,l'Antiga Esquerra de l'Eixample,Pensions,2015-07-22T10:22:58,2022-09-17T08:24:21.201297
7,la Dreta de l'Eixample,Pensions,2015-07-22T11:39:54,2022-09-17T08:24:22.633164
7,la Dreta de l'Eixample,Pensions,2015-07-22T11:42:22,2022-09-17T08:24:23.264657
8,l'Antiga Esquerra de l'Eixample,Pensions,2015-07-22T11:56:25,2022-09-17T08:24:28.668742
7,la Dreta de l'Eixample,Pensions,2015-07-22T12:37:32,2022-09-17T08:24:31.310856
8,l'Antiga Esquerra de l'Eixample,Pensions,2015-07-22T12:52:00,2022-09-17T08:24:33.773103
8,l'Antiga Esquerra de l'Eixample,Pensions,2015-07-21T14:39:51,2022-09-17T08:24:11.509599
2,el Barri Gòtic,Pensions,2015-07-22T08:44:15,2022-09-17T08:24:12.075752
7,la Dreta de l'Eixample,Pensions,2001-06-15T00:00:00,2022-09-17T02:23:43.565716
2,el Barri Gòtic,Pensions,2015-07-24T14:04:04,2022-09-17T08:25:31.963867
8,l'Antiga Esquerra de l'Eixample,Pensions,2015-07-24T14:17:38,2022-09-17T08:25:38.348813
8,l'Antiga Esquerra de l'Eixample,Pensions,2015-07-24T14:30:36,2022-09-17T08:25:38.970655
7,la Dreta de l'Eixample,Pensions,2015-07-27T09:11:55,2022-09-17T08:25:40.661379
7,la Dreta de l'Eixample,Pensions,2015-07-27T09:36:31,2022-09-17T08:25:44.135581
8,l'Antiga Esquerra de l'Eixample,Pensions,2015-07-27T10:08:39,2022-09-17T08:25:45.087154
10,Sant Antoni,Pensions,2015-07-27T10:19:09,2022-09-17T08:25:46.992736
1,el Raval,Pensions,2015-07-22T13:15:56,2022-09-17T08:24:37.977591
7,la Dreta de l'Eixample,Pensions,2015-07-22T14:11:33,2022-09-17T08:24:43.407127
30,la Salut,Pensions,2015-07-22T14:24:01,2022-09-17T08:24:45.193054
7,la Dreta de l'Eixample,Pensions,2015-07-22T14:42:38,2022-09-17T08:24:48.157835
7,la Dreta de l'Eixample,Pensions,2015-07-22T14:46:03,2022-09-17T08:24:47.949426
2,el Barri Gòtic,Pensions,2015-07-22T14:53:41,2022-09-17T08:24:50.156576
7,la Dreta de l'Eixample,Pensions,2018-08-20T10:10:40,2022-09-17T10:54:04.379655
7,la Dreta de l'Eixample,Pensions,2018-08-20T11:05:37,2022-09-17T10:54:07.259293
9,la Nova Esquerra de l'Eixample,Pensions,2018-08-20T11:09:12,2022-09-17T10:54:06.898394
11,el Poble-sec,Pensions,2018-08-20T11:30:20,2022-09-17T10:54:08.240769
7,la Dreta de l'Eixample,Pensions,2018-08-22T12:22:22,2022-09-17T10:54:10.851338
10,Sant Antoni,Pensions,2018-09-13T12:29:10,2022-09-17T10:54:20.554508
7,la Dreta de l'Eixample,Pensions,2018-09-13T12:33:27,2022-09-17T10:54:20.969048
