addresses_neighborhood_id,addresses_neighborhood_name,name,created,modified
1,el Raval,Escola Massana Centre Municipal d'Art i Disseny,1987-10-26T00:00:00,2024-05-27T10:34:24.388602
2,el Barri Gòtic,Moll de la Fusta *Escenari Besòs,2022-09-12T11:33:48.268663,2023-08-31T13:52:46.874062
2,el Barri Gòtic,Moll de la Fusta *Escenari Llobregat,2022-09-12T11:35:50.666422,2023-08-31T13:53:23.762551
31,la Vila de Gràcia,Parròquia de Santa Maria de Gràcia,1984-05-30T00:00:00,2022-09-17T03:56:03.955172
32,el Camp d'en Grassot i Gràcia Nova,Parròquia de l'Immaculat Cor de Maria,1986-04-24T00:00:00,2022-09-17T03:56:49.356157
22,"Vallvidrera, el Tibidabo i les Planes",Funicular Vallvidrera - FGC,1988-02-26T00:00:00,2024-09-09T12:14:08.529615
25,Sant Gervasi - la Bonanova,Funicular Tibidabo - Cuca de Llum,1988-02-26T00:00:00,2021-07-15T12:48:03.090346
19,les Corts,El passatge de Tubella,2017-02-09T16:36:10,2021-09-09T02:16:50.827053
25,Sant Gervasi - la Bonanova,Tramvia Blau Tibidabo-TMB,1988-02-26T00:00:00,2023-06-09T14:33:33.747606
31,la Vila de Gràcia,Institut Vila de Gràcia,1992-08-21T00:00:00,2023-02-02T13:59:58.503266
41,la Vall d'Hebron,Pavelló de la República,1992-09-15T00:00:00,2022-09-17T04:58:23.009579
41,la Vall d'Hebron,Museu de Carruatges del Foment,1985-03-20T00:00:00,2024-06-25T09:11:15.310347
11,el Poble-sec,Poble Espanyol de Barcelona,1984-12-10T00:00:00,2024-09-10T13:06:08.841215
25,Sant Gervasi - la Bonanova,Centre Educatiu Jesús i Maria *Passeig Sant Gervasi,1988-03-01T00:00:00,2022-09-17T04:54:10.337304
2,el Barri Gòtic,Cereria Subirà,2012-02-06T10:28:30,2022-09-23T14:46:44.520020
1,el Raval,Filmoteca de Catalunya,1987-06-16T00:00:00,2023-02-01T15:33:28.237926
1,el Raval,Associació Cultural El Raval El Lokal,1994-01-24T00:00:00,2023-12-13T12:33:40.102462
31,la Vila de Gràcia,Espai Jove La Fontana,2009-01-13T17:23:40,2024-11-04T14:38:43.089710
60,Sant Andreu,Centre Estudis Ignasi Iglesias,1987-09-17T00:00:00,2024-11-14T12:01:03.110709
3,la Barceloneta,Far del Port - Torre del Rellotge,1995-02-03T00:00:00,2022-09-17T05:12:22.281914
60,Sant Andreu,Parròquia de Sant Josep Manyanet,1984-05-30T00:00:00,2022-09-17T03:57:46.264074
60,Sant Andreu,Centre Cívic Sant Andreu,1984-05-30T00:00:00,2024-03-13T13:33:56.298107
60,Sant Andreu,Pis - Museu Habitatge 1/11,2012-03-12T00:00:00,2024-01-04T09:37:49.502464
31,la Vila de Gràcia,Associació Catalana per la Integració i el Desenvolupament Humà,1996-09-18T00:00:00,2024-06-26T12:34:18.796738
4,"Sant Pere, Santa Caterina i la Ribera",Casal de Barri Pou de la Figuera,2010-10-25T12:46:13,2022-10-04T13:22:18.225934
7,la Dreta de l'Eixample,Casal Sant Jordi,1984-12-10T00:00:00,2022-09-17T04:06:02.633399
19,les Corts,Edifici Talaia Barcelona,1984-12-10T00:00:00,2022-09-17T04:06:20.547137
9,la Nova Esquerra de l'Eixample,Centre Cultural Teresa Pàmies,2011-05-09T11:51:31,2022-09-17T07:39:48.289514
5,el Fort Pienc,Mercat Encants Barcelona - Fira de Bellcaire,1984-12-28T00:00:00,2024-06-13T14:17:04.687163
20,la Maternitat i Sant Ramon,Cementiri Les Corts,1985-03-28T00:00:00,2023-10-24T09:05:12.066533
24,les Tres Torres,Cementiri Sarrià,1985-03-28T00:00:00,2023-10-24T09:06:41.839251
68,el Poblenou,Cementiri Poblenou,1985-03-28T00:00:00,2023-02-15T11:55:08.588986
23,Sarrià,Centre Esportiu Municipal Can Caralleu,1989-10-09T00:00:00,2024-06-20T14:20:22.235875
26,Sant Gervasi - Galvany,Institut Français de Barcelone,1984-05-30T00:00:00,2023-02-13T18:27:43.641744
2,el Barri Gòtic,Parròquia de la Mare de Déu de la Mercè i Sant Miquel Arcàngel - Basílica,1984-05-30T00:00:00,2021-09-01T13:22:50.857309
9,la Nova Esquerra de l'Eixample,Centre Cívic Casa Golferichs,1984-12-10T00:00:00,2024-11-12T13:11:17.690007
32,el Camp d'en Grassot i Gràcia Nova,Font Hércules,1995-05-08T00:00:00,2023-01-20T14:10:54.408480
7,la Dreta de l'Eixample,Conservatori Municipal de Música de Barcelona,1989-05-22T00:00:00,2023-02-15T12:51:47.877924
39,Sant Genís dels Agudells,Cementiri Sant Genís,1985-03-28T00:00:00,2022-09-30T11:29:32.694534
4,"Sant Pere, Santa Caterina i la Ribera",Palau de la Música Catalana,1988-07-11T00:00:00,2023-02-16T13:02:06.452245
2,el Barri Gòtic,Santa Església Catedral Basílica de Barcelona,1988-06-02T00:00:00,2024-11-05T12:58:10.412778
11,el Poble-sec,Parròquia de la Mare de Déu de Lourdes,1984-05-30T00:00:00,2022-09-17T03:44:04.503945
60,Sant Andreu,Parròquia de Sant Pacià,1984-05-30T00:00:00,2022-09-17T03:57:45.891450
11,el Poble-sec,Museu,1986-11-24T00:00:00,2024-11-15T13:26:47.729381
29,el Coll,Parròquia de la Mare de Déu del Coll,1984-05-30T00:00:00,2022-09-17T03:59:51.031344
26,Sant Gervasi - Galvany,Mercat Galvany,1984-12-28T00:00:00,2024-03-15T10:50:05.128298
2,el Barri Gòtic,"TAMAIA Viure Sense Violencia, S.C.C.L.",2011-02-22T12:05:35,2024-01-31T13:07:26.886727
35,el Guinardó,Casal d'Entitats Mas Guinardó,2011-02-23T14:25:20,2024-09-20T09:12:05.477642
30,la Salut,Casa Museu Gaudí,1986-04-30T00:00:00,2024-11-15T12:49:32.637079
30,la Salut,Club Tennis La Salut,1985-04-26T00:00:00,2024-08-02T08:38:13.380754
27,el Putxet i el Farró,Associació de Comerciants i Professionals Barnavasi,1989-11-09T00:00:00,2024-06-07T12:47:19.898315
13,la Marina de Port,Centre Cívic Casa del Rellotge,1991-04-29T00:00:00,2024-07-05T10:03:12.142495
23,Sarrià,Centre Excursionista Els Blaus,2002-05-09T10:29:32,2024-10-07T10:40:23.140818
25,Sant Gervasi - la Bonanova,L'avinguda del Tibidabo,2015-05-25T14:19:35,2022-04-26T11:35:41.566288
7,la Dreta de l'Eixample,El Passeig de Gràcia,2015-05-25T15:30:49,2024-09-10T12:10:08.678152
31,la Vila de Gràcia,Casa Enric Cera,2017-02-06T13:40:25,2022-09-17T08:50:37.933493
65,el Clot,El Clot,2015-05-26T12:14:59,2021-09-09T02:14:34.381214
1,el Raval,Bar Marsella,1992-03-13T00:00:00,2022-09-17T04:48:47.605726
61,la Sagrera,Plaça Masadas,2015-07-02T14:25:13,2021-09-09T02:15:01.107312
34,Can Baró,Masia de Can Baró,2015-07-03T12:59:42,2021-09-09T02:15:05.624813
40,Montbau,Pla de Montbau,2015-07-03T13:52:29,2021-09-09T02:15:08.526094
13,la Marina de Port,Hort Urbà Masia Can Mestres *Tancat,1998-06-29T00:00:00,2024-10-11T13:51:23.948941
4,"Sant Pere, Santa Caterina i la Ribera",Museu Picasso,1984-05-30T00:00:00,2024-09-10T14:52:43.618071
10,Sant Antoni,Cases Francesc Farreras,2015-07-07T11:29:39,2022-09-17T08:22:05.441604
7,la Dreta de l'Eixample,Casa Pomar,2015-07-07T11:59:10,2022-09-17T08:22:07.194363
7,la Dreta de l'Eixample,Casa Jaume Forn,2015-07-07T12:35:51,2022-09-17T08:22:09.471198
7,la Dreta de l'Eixample,Casa Santurce,2015-07-07T13:15:14,2022-09-17T08:22:10.606858
8,l'Antiga Esquerra de l'Eixample,Casa Granell *Balmes,2015-07-07T13:19:20,2022-09-17T08:22:15.118064
40,Montbau,Cases Blanques,2017-02-06T09:47:47,2021-09-09T02:15:47.161603
46,el Turó de la Peira,Refugi Antiaeri de Can Peguera,2017-02-06T10:20:08,2022-09-17T08:50:17.893694
30,la Salut,Can Tusquets,2017-02-06T12:04:04,2022-09-17T08:50:26.722197
31,la Vila de Gràcia,Casa Agustí Trulla,2017-02-06T12:26:29,2022-09-17T08:50:25.218534
31,la Vila de Gràcia,Casa Castellet,2017-02-06T12:53:20,2022-09-17T08:50:27.402970
31,la Vila de Gràcia,Casa Concepció i Casa Comelles,2017-02-06T13:21:22,2022-09-17T08:50:27.655811
28,Vallcarca i els Penitents,Casa Cortina,2017-02-06T13:25:54,2022-09-17T08:50:31.900669
64,el Camp de l'Arpa del Clot,Associació d'Emprenedors del Clot - Eix Clot,2016-04-18T11:52:44,2024-04-08T14:18:27.270016
28,Vallcarca i els Penitents,Escola la Farigola de Vallcarca,1985-05-10T00:00:00,2022-09-17T04:54:12.027676
