addresses_neighborhood_id,addresses_neighborhood_name,secondary_filters_name,created,modified
6,la Sagrada Família,Xampanyeries,1996-09-18T00:00:00,2023-10-03T10:18:54.075600
26,Sant Gervasi - Galvany,Discoteques,1996-09-18T00:00:00,2024-09-23T10:44:21.559714
1,el Raval,Altres esports,2018-07-05T10:20:57,2024-09-18T13:25:08.484568
9,la Nova Esquerra de l'Eixample,Bars i pubs musicals,1996-11-25T00:00:00,2023-10-03T10:16:27.671401
9,la Nova Esquerra de l'Eixample,Karaokes,1996-11-25T00:00:00,2023-10-03T10:16:27.671401
26,Sant Gervasi - Galvany,Teatres,1996-09-18T00:00:00,2023-10-03T10:42:56.628974
26,Sant Gervasi - Galvany,Discoteques,1996-09-18T00:00:00,2023-10-03T10:42:56.628974
1,el Raval,Discoteques,1996-09-18T00:00:00,2023-10-03T10:02:52.019971
11,el Poble-sec,Discoteques,2005-06-16T14:41:50,2022-09-17T06:26:07.756221
3,la Barceloneta,Cocteleries,2019-09-27T00:00:00,2021-05-28T14:38:54.433274
3,la Barceloneta,Xampanyeries,2019-09-27T00:00:00,2021-05-28T14:38:54.433274
3,la Barceloneta,Restaurants,2019-09-27T00:00:00,2021-05-28T14:38:54.433274
66,el Parc i la Llacuna del Poblenou,Bars i pubs musicals,2000-11-28T00:00:00,2022-09-17T02:20:36.294239
66,el Parc i la Llacuna del Poblenou,Discoteques,2000-11-28T00:00:00,2022-09-17T02:20:36.294239
8,l'Antiga Esquerra de l'Eixample,Bars i pubs musicals,1996-09-18T00:00:00,2023-11-23T12:46:48.550965
2,el Barri Gòtic,Bars i pubs musicals,2000-11-16T00:00:00,2024-09-18T13:23:09.863503
2,el Barri Gòtic,Cocteleries,2000-11-16T00:00:00,2024-09-18T13:23:09.863503
2,el Barri Gòtic,Xampanyeries,2000-11-16T00:00:00,2024-09-18T13:23:09.863503
25,Sant Gervasi - la Bonanova,Bars i pubs musicals,2000-11-20T00:00:00,2022-09-17T02:20:21.814788
