Codi_Barri,Nom_Barri,Any,TipusEquipament,Indicador,Valor
1.0,el Raval,2023,Museus i exposicions,Visites_Exposicions_Temporals,115759
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Num_Exposicions_Temporals,3
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Visitants,1191589
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Visites_Exposicions_Temporals,118433
1.0,el Raval,2023,Museus i exposicions,Num_Exposicions_Temporals,13
1.0,el Raval,2023,Museus i exposicions,Visitants,125937
1.0,el Raval,2023,Museus i exposicions,Visites_Exposicions_Temporals,239492
11.0,el Poble Sec,2023,Museus i exposicions,Fons_Colleccio,49107
11.0,el Poble Sec,2023,Museus i exposicions,Num_Exposicions_Temporals,3
11.0,el Poble Sec,2023,Museus i exposicions,Visitants,33188
11.0,el Poble Sec,2023,Museus i exposicions,Visites_Exposicions_Temporals,64844
1.0,el Raval,2023,Museus i exposicions,Fons_Colleccio,6674
1.0,el Raval,2023,Museus i exposicions,Num_Exposicions_Temporals,14
1.0,el Raval,2023,Museus i exposicions,Visitants,257991
1.0,el Raval,2023,Museus i exposicions,Visites_Exposicions_Temporals,415418
2.0,el Barri Gòtic,2023,Museus i exposicions,Fons_Colleccio,84026
2.0,el Barri Gòtic,2023,Museus i exposicions,Num_Exposicions_Temporals,11
2.0,el Barri Gòtic,2023,Museus i exposicions,Visitants,829918
2.0,el Barri Gòtic,2023,Museus i exposicions,Visites_Exposicions_Temporals,94486
3.0,la Barceloneta,2023,Museus i exposicions,Fons_Colleccio,15289
3.0,la Barceloneta,2023,Museus i exposicions,Num_Exposicions_Temporals,4
3.0,la Barceloneta,2023,Museus i exposicions,Visitants,116827
3.0,la Barceloneta,2023,Museus i exposicions,Visites_Exposicions_Temporals,13042
70.0,el Besòs i el Maresme,2023,Museus i exposicions,Fons_Colleccio,3212770
70.0,el Besòs i el Maresme,2023,Museus i exposicions,Num_Exposicions_Temporals,5
70.0,el Besòs i el Maresme,2023,Museus i exposicions,Visitants,343132
70.0,el Besòs i el Maresme,2023,Museus i exposicions,Visites_Exposicions_Temporals,128288
2.0,el Barri Gòtic,2023,Museus i exposicions,Visitants,156924
5.0,el Fort Pienc,2023,Museus i exposicions,Fons_Colleccio,3163
5.0,el Fort Pienc,2023,Museus i exposicions,Num_Exposicions_Temporals,6
5.0,el Fort Pienc,2023,Museus i exposicions,Visitants,46782
5.0,el Fort Pienc,2023,Museus i exposicions,Visites_Exposicions_Temporals,79680
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Fons_Colleccio,2981
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Num_Exposicions_Temporals,1
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visitants,108368
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visites_Exposicions_Temporals,16336
20.0,la Maternitat i Sant Ramon,2023,Museus i exposicions,Visitants,1186120
22.0,"Vallvidrera, el Tibidabo i les Planes",2023,Museus i exposicions,Visitants,106678
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Fons_Colleccio,1254
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Visitants,257273
11.0,el Poble Sec,2023,Museus i exposicions,Fons_Colleccio,74000
11.0,el Poble Sec,2023,Museus i exposicions,Num_Exposicions_Temporals,2
11.0,el Poble Sec,2023,Museus i exposicions,Visitants,65307
11.0,el Poble Sec,2023,Museus i exposicions,Visites_Exposicions_Temporals,38613
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Fons_Colleccio,1563
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Num_Exposicions_Temporals,4
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visitants,27510
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visites_Exposicions_Temporals,32549
2.0,el Barri Gòtic,2023,Museus i exposicions,Fons_Colleccio,55000
2.0,el Barri Gòtic,2023,Museus i exposicions,Num_Exposicions_Temporals,2
2.0,el Barri Gòtic,2023,Museus i exposicions,Visitants,59176
2.0,el Barri Gòtic,2023,Museus i exposicions,Visites_Exposicions_Temporals,30502
1.0,el Raval,2023,Museus i exposicions,Fons_Colleccio,394229
1.0,el Raval,2023,Museus i exposicions,Num_Exposicions_Temporals,8
1.0,el Raval,2023,Museus i exposicions,Visitants,256838
1.0,el Raval,2023,Museus i exposicions,Visites_Exposicions_Temporals,34724
11.0,el Poble Sec,2023,Museus i exposicions,Fons_Colleccio,353238
11.0,el Poble Sec,2023,Museus i exposicions,Num_Exposicions_Temporals,7
11.0,el Poble Sec,2023,Museus i exposicions,Visitants,570993
11.0,el Poble Sec,2023,Museus i exposicions,Visites_Exposicions_Temporals,483937
11.0,el Poble Sec,2023,Museus i exposicions,Num_Exposicions_Temporals,3
11.0,el Poble Sec,2023,Museus i exposicions,Visitants,51799
11.0,el Poble Sec,2023,Museus i exposicions,Visites_Exposicions_Temporals,49349
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Fons_Colleccio,5307
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Num_Exposicions_Temporals,3
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visitants,1047073
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visites_Exposicions_Temporals,626689
1.0,el Raval,2023,Museus i exposicions,Num_Exposicions_Temporals,2
1.0,el Raval,2023,Museus i exposicions,Visitants,227401
1.0,el Raval,2023,Museus i exposicions,Visites_Exposicions_Temporals,169269
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Num_Exposicions_Temporals,17
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Visitants,406298
7.0,la Dreta de l'Eixample,2023,Museus i exposicions,Visites_Exposicions_Temporals,406298
30.0,la Salut,2023,Museus i exposicions,Visitants,4623959
11.0,el Poble Sec,2023,Museus i exposicions,Fons_Colleccio,5880
11.0,el Poble Sec,2023,Museus i exposicions,Num_Exposicions_Temporals,8
11.0,el Poble Sec,2023,Museus i exposicions,Visitants,96986
11.0,el Poble Sec,2023,Museus i exposicions,Visites_Exposicions_Temporals,42623
35.0,el Guinardó,2023,Museus i exposicions,Visitants,320134
21.0,Pedralbes,2023,Museus i exposicions,Fons_Colleccio,8378
21.0,Pedralbes,2023,Museus i exposicions,Visitants,87629
1.0,el Raval,2023,Museus i exposicions,Num_Exposicions_Temporals,6
1.0,el Raval,2023,Museus i exposicions,Visitants,36910
1.0,el Raval,2023,Museus i exposicions,Visites_Exposicions_Temporals,29602
4.0,"Sant Pere, Santa Caterina i la Ribera",2023,Museus i exposicions,Visitants,818288
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Num_Exposicions_Temporals,3
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Visitants,16426
4.0,"Sant Pere, Santa Caterina i la Ribera",2022,Museus i exposicions,Visites_Exposicions_Temporals,16426
6.0,la Sagrada Família,2022,Museus i exposicions,Visitants,3781845
14.0,la Font de la Guatlla,2022,Museus i exposicions,Num_Exposicions_Temporals,11
14.0,la Font de la Guatlla,2022,Museus i exposicions,Visitants,518809
14.0,la Font de la Guatlla,2022,Museus i exposicions,Visites_Exposicions_Temporals,478035
66.0,el Parc i la Llacuna del Poblenou,2022,Museus i exposicions,Num_Exposicions_Temporals,6
66.0,el Parc i la Llacuna del Poblenou,2022,Museus i exposicions,Visitants,13087
66.0,el Parc i la Llacuna del Poblenou,2022,Museus i exposicions,Visites_Exposicions_Temporals,19053
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visitants,14753
7.0,la Dreta de l'Eixample,2022,Museus i exposicions,Visitants,932851
30.0,la Salut,2022,Museus i exposicions,Visitants,95086
31.0,la Vila de Gràcia,2022,Museus i exposicions,Num_Exposicions_Temporals,2
31.0,la Vila de Gràcia,2022,Museus i exposicions,Visitants,126632
31.0,la Vila de Gràcia,2022,Museus i exposicions,Visites_Exposicions_Temporals,124391
11.0,el Poble Sec,2022,Museus i exposicions,Num_Exposicions_Temporals,5
11.0,el Poble Sec,2022,Museus i exposicions,Visitants,684031
