addresses_neighborhood_id,addresses_neighborhood_name,secondary_filters_name,created,modified
1,el Raval,Hotels 2 estr.,2012-03-22T14:31:06,2022-09-17T07:46:42.824580
2,el Barri Gòtic,Hotels 5 estr.,2017-02-22T14:21:59,2022-04-27T13:21:17.487481
8,l'Antiga Esquerra de l'Eixample,Hotels 4 estr.,2011-02-11T12:38:47,2022-09-17T07:31:00.630322
2,el Barri Gòtic,Hotels 4 estr.,2011-08-05T11:48:32,2022-09-17T07:41:42.382382
7,la Dreta de l'Eixample,Hotels 4 estr.,2007-05-04T13:05:01,2022-09-17T06:47:32.620457
4,"Sant Pere, Santa Caterina i la Ribera",Hotels 2 estr.,1998-03-28T00:00:00,2023-10-03T10:02:43.904055
4,"Sant Pere, Santa Caterina i la Ribera",Hotels 4 estr.,2013-10-17T14:27:08,2022-09-17T07:58:11.229282
41,la Vall d'Hebron,Hotels 4 estr.,1995-07-11T00:00:00,2022-09-17T05:16:17.441230
8,l'Antiga Esquerra de l'Eixample,Hotels 3 estr.,2014-07-02T13:15:37,2022-09-17T08:07:21.339816
14,la Font de la Guatlla,Hotels 3 estr.,2015-07-30T18:11:23,2022-09-17T08:26:08.584513
7,la Dreta de l'Eixample,Hotels 1 estr.,2015-07-30T18:38:17,2022-09-17T08:26:20.605472
7,la Dreta de l'Eixample,Hotels 4 estr.,2015-07-30T18:44:38,2022-09-17T08:26:21.211135
7,la Dreta de l'Eixample,Hotels 4 estr.,2003-05-09T13:13:42,2022-09-17T06:01:48.158572
1,el Raval,Hotels 4 estr.,2001-01-26T00:00:00,2022-09-17T02:21:24.419216
19,les Corts,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:43:51.023008
29,el Coll,Hotels 3 estr.,1996-10-23T00:00:00,2022-09-17T05:25:34.475223
20,la Maternitat i Sant Ramon,Hotels 4 estr.,2011-11-08T13:47:13,2022-09-17T07:43:14.136535
7,la Dreta de l'Eixample,Hotels 1 estr.,2015-07-31T09:18:35,2022-09-17T08:26:25.768057
9,la Nova Esquerra de l'Eixample,Hotels 3 estr.,1997-09-06T00:00:00,2023-10-03T10:15:38.610973
64,el Camp de l'Arpa del Clot,Hotels 3 estr.,1998-03-28T00:00:00,2023-10-03T10:39:00.969700
5,el Fort Pienc,Hotels 3 estr.,1996-09-18T00:00:00,2023-10-03T10:16:08.071029
1,el Raval,Hotels 3 estr.,2009-05-27T09:24:24,2022-09-17T07:12:23.905481
25,Sant Gervasi - la Bonanova,Hotels 3 estr.,1998-02-02T00:00:00,2022-09-17T05:37:03.202522
1,el Raval,Hotels 4 estr.,1999-06-03T00:00:00,2022-09-17T05:52:06.647009
69,Diagonal Mar i el Front Marítim del Poblenou,Hotels 4 estr.,2001-01-26T00:00:00,2022-09-17T02:21:24.038637
8,l'Antiga Esquerra de l'Eixample,Hotels 4 estr.,2006-03-07T10:11:57,2023-02-16T10:08:30.585076
2,el Barri Gòtic,Hotels 4 estr.,2018-07-10T12:25:43,2022-09-17T09:26:10.529753
66,el Parc i la Llacuna del Poblenou,Hotels 1 estr.,2018-07-10T12:50:02,2022-09-17T09:26:10.804277
19,les Corts,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:44:21.390375
7,la Dreta de l'Eixample,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:18:11.124736
4,"Sant Pere, Santa Caterina i la Ribera",Hotels 3 estr.,2018-01-23T12:06:38,2022-09-17T09:11:23.611076
2,el Barri Gòtic,Hotels 5 estr.,2017-03-06T11:51:21,2022-09-17T08:55:01.683986
66,el Parc i la Llacuna del Poblenou,Hotels 2 estr.,2017-03-06T12:06:28,2022-09-17T08:55:03.339635
11,el Poble-sec,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:38:52.639971
2,el Barri Gòtic,Hotels 3 estr.,1998-06-13T00:00:00,2023-10-03T10:02:42.125704
9,la Nova Esquerra de l'Eixample,Hotels 3 estr.,2001-02-13T00:00:00,2022-09-17T02:21:42.651552
2,el Barri Gòtic,Hotels 3 estr.,1996-09-18T00:00:00,2023-10-03T10:03:47.306497
8,l'Antiga Esquerra de l'Eixample,Hotels 3 estr.,1996-09-18T00:00:00,2023-10-03T10:16:38.610551
1,el Raval,Hotels 4 estr.,2022-07-19T12:42:14.284703,2022-07-19T13:07:22.249638
7,la Dreta de l'Eixample,Hotels 5 estr.,1996-09-18T00:00:00,2023-10-03T10:18:09.618302
15,Hostafrancs,Hotels 4 estr.,1996-09-18T00:00:00,2024-11-08T10:38:30.370100
7,la Dreta de l'Eixample,Hotels 5 estr.,2015-06-02T09:44:04,2022-09-17T08:19:59.802031
1,el Raval,Hotels 3 estr.,1996-09-18T00:00:00,2023-10-03T10:04:03.084227
26,Sant Gervasi - Galvany,Hotels 3 estr.,1996-09-17T00:00:00,2023-10-03T10:45:37.577585
7,la Dreta de l'Eixample,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:18:50.009835
1,el Raval,Hotels 2 estr.,1996-09-18T00:00:00,2023-10-03T10:03:22.995708
25,Sant Gervasi - la Bonanova,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:41:12.753039
1,el Raval,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:03:26.797136
7,la Dreta de l'Eixample,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:18:23.906356
19,les Corts,Hotels 3 estr.,1996-09-18T00:00:00,2023-10-03T10:42:08.450329
33,el Baix Guinardó,Hotels 1 estr.,1996-09-18T00:00:00,2023-10-03T10:42:04.722615
4,"Sant Pere, Santa Caterina i la Ribera",Hotels 2 estr.,1996-09-18T00:00:00,2023-10-03T10:04:06.101515
45,Porta,Hotels 2 estr.,2001-09-26T00:00:00,2022-09-17T02:27:12.988116
19,les Corts,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:40:08.484619
11,el Poble-sec,Hotels 1 estr.,1996-09-18T00:00:00,2023-10-03T10:39:39.846361
8,l'Antiga Esquerra de l'Eixample,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:17:16.067764
15,Hostafrancs,Hotels 3 estr.,1996-09-18T00:00:00,2023-10-03T10:41:44.166435
26,Sant Gervasi - Galvany,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:40:59.650196
26,Sant Gervasi - Galvany,Hotels 4 estr.,2018-08-08T16:01:33,2022-09-17T10:53:40.675480
7,la Dreta de l'Eixample,Hotels 2 estr.,2018-08-16T09:44:31,2022-09-17T10:53:56.343769
15,Hostafrancs,Hotels 3 estr.,2020-01-20T15:45:41,2021-12-14T09:00:51.155274
1,el Raval,Hotels 3 estr.,2020-01-20T16:01:58,2022-09-17T11:11:27.602049
2,el Barri Gòtic,Hotels 1 estr.,1996-09-18T00:00:00,2023-10-03T10:03:20.039612
3,la Barceloneta,Hotels 3 estr.,2007-03-13T10:10:01,2022-09-17T06:46:29.408824
2,el Barri Gòtic,Hotels 2 estr.,1996-09-18T00:00:00,2024-05-06T08:48:22.141900
10,Sant Antoni,Hotels 3 estr.,1996-09-18T00:00:00,2023-10-03T10:17:53.290875
1,el Raval,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:03:17.527317
7,la Dreta de l'Eixample,Hotels 4 estr.,1996-09-18T00:00:00,2023-10-03T10:19:22.497830
2,el Barri Gòtic,Hotels 2 estr.,1996-09-18T00:00:00,2023-10-03T10:03:15.603527
1,el Raval,Hotels 3 estr.,1996-09-18T00:00:00,2023-10-03T10:03:15.541813
2,el Barri Gòtic,Hotels 1 estr.,1996-09-17T00:00:00,2023-10-03T10:03:55.492660
2,el Barri Gòtic,Hotels 3 estr.,2000-10-07T00:00:00,2023-10-03T10:02:37.336733
2,el Barri Gòtic,Hotels 4 estr.,2000-11-25T00:00:00,2023-10-03T10:02:36.698570
8,l'Antiga Esquerra de l'Eixample,Hotels 4 estr.,2004-09-29T12:00:25,2022-09-17T06:19:31.982435
11,el Poble-sec,Hotels 5 estr.,2004-07-16T14:22:23,2022-09-17T06:18:46.584045
8,l'Antiga Esquerra de l'Eixample,Hotels 3 estr.,1996-09-18T00:00:00,2023-10-03T10:16:15.586511
71,Provençals del Poblenou,Hotels 4 estr.,2005-06-07T11:50:02,2022-09-17T06:25:50.955200
27,el Putxet i el Farró,Hotels 4 estr.,1998-01-20T00:00:00,2022-09-17T05:36:49.750176
2,el Barri Gòtic,Hotels 4 estr.,1996-09-17T00:00:00,2023-10-03T10:03:56.072544
4,"Sant Pere, Santa Caterina i la Ribera",Hotels 3 estr.,2005-09-01T13:41:58,2022-09-17T06:28:15.245342
18,Sants,Hotels 4 estr.,2000-09-29T00:00:00,2022-05-24T12:53:41.741457
7,la Dreta de l'Eixample,Hotels 2 estr.,2004-10-06T12:57:55,2022-09-17T06:19:50.508240
31,la Vila de Gràcia,Hotels 3 estr.,2019-05-29T16:22:08,2022-09-17T11:03:48.855142
2,el Barri Gòtic,Hotels 4 estr.,1996-09-18T00:00:00,2024-07-03T07:56:54.823598
26,Sant Gervasi - Galvany,Hotels 4 estr.,1997-10-01T00:00:00,2022-09-17T05:34:00.705074
69,Diagonal Mar i el Front Marítim del Poblenou,Hotels 4 estr.,2004-04-27T10:02:02,2022-09-17T06:16:58.131990
10,Sant Antoni,Hotels 3 estr.,2003-12-03T13:24:03,2022-09-17T06:06:44.303951
2,el Barri Gòtic,Hotels 3 estr.,1996-09-17T00:00:00,2023-10-03T10:03:55.570886
24,les Tres Torres,Hotels 3 estr.,2001-05-19T00:00:00,2023-10-03T10:37:57.815934
7,la Dreta de l'Eixample,Hotels 4 estr.,2006-07-07T13:13:31,2022-09-17T06:37:09.299265
1,el Raval,Hotels 4 estr.,2001-03-09T00:00:00,2022-09-17T02:22:06.233125
2,el Barri Gòtic,Hotels 4 estr.,2006-07-07T10:53:32,2022-09-17T06:37:08.204600
4,"Sant Pere, Santa Caterina i la Ribera",Hotels 3 estr.,2002-10-08T14:35:53,2022-09-17T05:58:40.731189
5,el Fort Pienc,Hotels 2 estr.,1996-09-18T00:00:00,2023-10-03T10:19:20.872579
1,el Raval,Hotels 5 estr.,2002-02-11T00:00:00,2022-09-17T02:34:27.979440
9,la Nova Esquerra de l'Eixample,Hotels 4 estr.,2004-10-27T16:58:20,2022-09-17T06:20:27.056423
2,el Barri Gòtic,Hotels 2 estr.,1996-09-18T00:00:00,2023-10-03T10:03:14.100643
7,la Dreta de l'Eixample,Hotels 2 estr.,2020-01-20T16:26:29,2022-09-17T11:11:27.809533
10,Sant Antoni,Hotels 4 estr.,2002-11-23T14:09:00,2023-10-03T10:15:27.697997
19,les Corts,Hotels 4 estr.,2006-12-12T10:44:25,2022-09-17T06:42:11.500102
1,el Raval,Hotels 4 estr.,2007-11-22T13:46:17,2022-09-17T06:54:12.567040
64,el Camp de l'Arpa del Clot,Hotels 3 estr.,1996-09-18T00:00:00,2023-10-03T10:41:14.007878
7,la Dreta de l'Eixample,Hotels 5 estr.,2003-11-25T13:25:10,2022-09-17T06:06:22.342032
9,la Nova Esquerra de l'Eixample,Hotels 3 estr.,2018-08-14T12:18:39,2022-09-17T10:53:50.555546
