Espai,Any,Assistents
Disseny Hub Barcelona,2023,505.0
Centre de Cultura Contemporània de Barcelona. CCCB,2023,1100.0
Fira de Barcelona Gran Via,2023,165000.0
Pl Catalunya,2023,300000.0
Diversos espais de la ciutat,2022,512.0
Fabra i Coats Fàbrica de Creació,2022,5000.0
Diversos espais de la ciutat,2022,79563.0
Diversos espais de la ciutat,2022,3000.0
Diversos espais de la ciutat,2022,8968.0
Diversos espais de la ciutat,2022,60.0
Diversos espais de la ciutat,2022,8000.0
Diversos espais de la ciutat,2022,12000.0
Diversos espais de la ciutat,2022,7600.0
Diversos espais de la ciutat,2022,2569.0
Diversos espais de la ciutat,2022,34500.0
Platja del Fòrum,2022,25000.0
Diversos espais de la ciutat,2022,10635.0
Xarxa de centres cívics,2022,19400.0
Xarxa de centres cívics,2022,19578.0
Diversos espais de la ciutat,2022,450.0
Diversos espais de la ciutat,2022,13500.0
Diversos espais de la ciutat,2022,650.0
Diversos espais de la ciutat,2022,6832.0
Diversos espais de la ciutat,2022,20970.0
Diversos espais de la ciutat,2022,1126.0
Diversos espais de la ciutat,2022,516.0
Diversos espais de la ciutat,2022,6500.0
Diversos espais de la ciutat,2022,22000.0
Diversos espais de la ciutat,2022,350.0
Centre de Cultura Contemporània de Barcelona. CCCB,2022,1898.0
Diversos espais de la ciutat,2022,350000.0
Diversos espais de la ciutat,2022,2455.0
Cinemes Girona,2022,5909.0
Horts de Can Soler,2022,97.0
Filmoteca de Catalunya,2022,1850.0
Platja de Sant Sebastià (Barceloneta),2022,21000.0
Plaça Ceràmica Vicens i Jardins Bacardí,2022,3395.0
Ateneu Popular 9 Barris,2022,1215.0
Diversos espais de la ciutat,2022,1673.0
Fira Barcelona Montjuïc,2022,110000.0
Diversos espais de la ciutat,2022,30000.0
"Antiga Fàbrica Estrella Damm, Westfield Glòries i el Poble Espanyol",2022,33600.0
Diversos espais de la ciutat,2022,16626.0
Diversos espais de la ciutat i de l'Àrea Metropolitana,2022,26340.0
Diversos espais de la ciutat,2022,2842.0
Fabra i Coats Fàbrica de Creació,2022,30899.0
Diversos espais de la ciutat,2022,250.0
Diversos espais de la ciutat,2022,4025.0
Diversos espais de la ciutat,2022,4950.0
Jardins del Pou de la Figuera,2022,400.0
Diversos espais de la ciutat,2022,14710.0
Finca Pedro Pons de la Universitat de Barcelona,2022,1800.0
Paranimf de la Universitat de Barcelona,2022,2000.0
Centre Cultural La Farinera del Clot,2022,420.0
Centre Cívic Pati Llimona,2022,185.0
Diversos espais del Poble Nou,2022,2800.0
Centre Cívic La Sedeta,2022,1500.0
Diversos espais de la ciutat,2022,244.0
Antic Teatre,2022,160.0
Centre de Cultura Contemporània de Barcelona. CCCB,2022,160.0
Parc del Fòrum,2022,72000.0
Diversos espais de la ciutat,2022,949.0
Diversos espais de la ciutat,2022,818.0
Diversos espais de la ciutat,2022,6400.0
Fundació Joan Miró,2022,1945.0
Diversos espais de la ciutat,2022,1680.0
Diversos espais del barri del Raval,2022,2000.0
Diversos espais de la ciutat,2022,1932.0
Poble Espanyol,2022,5551.0
Diversos espais de la ciutat,2022,10243.0
L'Auditori,2022,2454.0
Diversos espais de la ciutat,2022,10000.0
Cinemes Aribau ,2022,30000.0
Diversos espais de la ciutat,2022,2337.0
Diversos espais de la ciutat,2022,2500.0
Diversos espais de la ciutat,2022,17000.0
Conservatori Municipal de Música de Barcelona,2022,590.0
Teatre La Puntual,2022,792.0
Jardins de Pedralbes,2022,90000.0
Diversos espais de la ciutat,2022,5700.0
Diversos espais de la ciutat,2022,1347.0
Diversos espais de la ciutat,2022,320.0
Diversos espais de la ciutat,2022,1120.0
Diversos espais de la ciutat,2022,50000.0
Centre de Cultura Contemporània de Barcelona. CCCB,2022,900.0
Diversos espais de la ciutat,2022,2090.0
Diversos espais de la ciutat,2022,1200.0
Diversos espais de la ciutat,2022,1070.0
Diversos espais de la ciutat,2022,4444.0
Antiga Fàbrica Estrella Damm,2022,8527.0
Diversos espais de la ciutat,2022,2120.0
Diversos espais de la ciutat,2022,2883.0
SAT! Sant Andreu Teatre,2022,1732.0
Fàbrica Lehmann,2022,500.0
Diversos espais de la ciutat,2022,610.0
Diversos espais de la ciutat,2022,17000.0
Diversos espais de la ciutat,2022,1300.0
Diversos espais de la ciutat,2022,109991.0
Diversos espais de la ciutat,2022,58319.0
Poble Espanyol,2022,15000.0
Diversos espais de la ciutat,2022,8000.0
Diversos espais de la ciutat,2022,1234.0
Diversos espais de la ciutat,2022,730.0
Diversos espais de la ciutat,2022,1433.0
Antic Teatre,2022,225.0
Diversos espais de la ciutat,2022,226.0
Diversos espais de la ciutat,2022,225.0
Diversos espais de la ciutat,2022,4600.0
Diversos espais de la ciutat,2022,711.0
Palau Robert,2022,8000.0
Diversos espais de la ciutat,2022,11000.0
