Espai,Any,Assistents
Centre Cívic Cotxeres de Sants,2019,2100.0
Casal de Joves Guineueta,2019,100.0
Diversos espais de la ciutat,2019,16553.0
Jardins d'Elissava,2019,6000.0
Diversos espais de la ciutat,2019,14000.0
CCCB,2019,486.0
Diversos espais de la ciutat,2019,273262.0
Espai Jove Les Basses i auditori FNAC L?Illa,2019,520.0
Fabra i Coats: Fàbrica de Creació,2019,10000.0
"CCCB, MACBA, Pl. de Joan Coromines",2019,20000.0
Aribau Multicines,2019,5815.0
Centre Cultural la Farinera del Clot i Centre Cívic Can Felipa,2019,2500.0
Filmoteca de Catalunya,2019,1560.0
Filmoteca de Catalunya,2019,3450.0
Diversos espais de la ciutat,2019,450.0
Teatre del Raval,2019,774.0
Diversos espais de la ciutat,2019,16434.0
Cinemes Girona ,2019,377.0
Diversos espais de la ciutat,2019,2007.0
Castell de Montjuïc,2019,2580.0
"Arts Santa Monica, MACBA",2019,1400.0
La Pedrera,2019,253.0
Claustre de l'Oratori de Sant Felip Neri,2019,394.0
Poble Espanyol,2019,30000.0
Museu del Disseny,2019,5000.0
Institut français-Barcelona i Cinemes Texas,2019,3100.0
Diversos espais de la ciutat,2019,1569.0
Diversos espais de la ciutat,2019,1114.0
La Pedrera,2019,1362.0
Diversos espais de la ciutat,2019,15000.0
Diversos espais de la ciutat,2019,18000.0
Parc del Fòrum,2019,220000.0
CCCB,2019,1340.0
Centre LGTBI Barcelona,2019,200.0
"Teatre Tantarantana, Teatre CCCB",2019,800.0
Centre Cívic Convent de Sant Agustí,2019,530.0
Pla de Montbau,2019,4000.0
Ateneu Popular 9 Barris,2019,500.0
Castell de Montjuïc,2019,33600.0
Fira Barcelona Montjüic,2019,112000.0
Plaça dels Àngels,2019,3900.0
Centre Cultural la Farinera del Clot i diversos espais de la ciutat,2019,715.0
Jardins de les tres xemeneies,2019,1000.0
CCCB,2019,7200.0
Avinguda de la Catedral,2019,30000.0
Poble Espanyol,2019,9000.0
Diversos espais de la ciutat,2019,650.0
Parc de la Guineueta,2019,600.0
Diversos espais de la ciutat,2019,10250.0
Fira de Barcelona (Montjuïc i Gran Via L'Hospitalet),2019,105000.0
Fórum i Plaça Monumental ,2019,35000.0
Cinemes Girona i CosmoCaixa,2019,8000.0
Luthier Dansa,2019,125.0
Diversos espais de la ciutat,2019,1301.0
Castell de Montjuïc ,2019,7335.0
Diversos espais de la ciutat,2019,2200.0
Teatre CCCB,2019,350.0
Centre Cívic Convent de Sant Agustí,2019,580.0
Centre Cívic Besos,2014,1156.0
La Seca Espai Brossa,2014,357.0
Diversos espais de la ciutat,2014,45500.0
Diversos espais de la ciutat,2014,350.0
Diversos espais de la ciutat,2014,4300.0
Transforma BCN,2014,1800.0
Arts de Santa Mònica,2014,10500.0
Diversos espais de la ciutat,2014,7500.0
"Barcelona Culture World, Poble Nou",2014,700.0
Diversos espais de la ciutat,2014,99179.0
Platja Port Fòrum,2014,23500.0
El Molino,2014,2000.0
Diversos espais de la ciutat,2014,11000.0
Diversos espais de la ciutat,2014,2100.0
Fira de Barcelona,2014,106000.0
Sala Moragues del Born Centre Cultural,2014,1256.0
Diversos espais de la ciutat,2014,4236.0
Museu Marítim de Barcelona i Sala Apolo,2014,1200.0
Diversos espais de la ciutat,2014,9741.0
Museu Olímpic i Sala Àmbit Cultural Corte Inglés,2014,2800.0
Diversos espais de la ciutat,2014,9762.0
Diversos espais de la ciutat,2014,360.0
CCCB,2014,9000.0
Diversos espais de la ciutat,2014,450.0
Cinemes Boliche,2014,936.0
Platja de Sant Sebastià,2014,10000.0
Mercat de les Flors i Metro,2014,7500.0
Diversos espais de la ciutat,2014,600.0
Diversos espais de la ciutat,2014,5000.0
Diversos espais de la ciutat,2014,10000.0
La Pedrera,2014,464.0
Fabra i Coats,2014,14100.0
La Pedrera,2014,1052.0
Diversos espais de la ciutat,2014,2487.0
Diversos espais de la ciutat,2014,5445.0
CCCB,2014,9636.0
Diversos espais de la ciutat,2014,2000.0
Fabra i Coats,2014,1500.0
Diversos espais de la ciutat,2014,10420.0
Diversos espais de la ciutat,2014,2073.0
CCCB,2014,1370.0
Diversos espais de la ciutat,2014,4000.0
Esglesia del Pi de Barcelona,2014,250.0
Edifici Disseny Hub Barcelona,2014,350.0
Edifici Disseny Hub Barcelona,2014,39202.0
Ca la Dona,2014,480.0
plaça Rovira i Trias,2014,6600.0
Diversos espais de la ciutat,2014,969.0
Antic Teatre,2014,80.0
Diversos espais de la ciutat,2014,12000.0
Diversos espais de la ciutat,2014,1751.0
Parc del Besos,2014,5000.0
Poble Espanyol,2014,350.0
Parc del Fòrum,2014,41000.0
SAT,2014,506.0
Teatre Tantarantana,2014,310.0
Diversos espais de la ciutat,2014,2500.0
Cinemes Girona,2014,670.0
Diversos espais de la ciutat,2014,1600.0
Diversos espais de la ciutat,2014,12000.0
Diversos espais de la ciutat,2014,9300.0
Diversos espais de la ciutat,2014,450.0
Poble Espanyol,2014,4066.0
Diversos espais de la ciutat,2014,22000.0
Diversos espais de la ciutat,2014,14000.0
Mercat de les Flors,2014,2714.0
Patí de la Seu del districte de Nou Barris,2014,1800.0
Centre Artesà Tradicionàrius i l'Auditori de Barcelona,2014,13000.0
Diversos espais de la ciutat,2014,29000.0
Antic Teatre,2014,320.0
Diversos espais de la ciutat,2014,3000.0
Cinemes Girona i Restaurant Entresuelo,2014,1000.0
Filmoteca de Catalunya i Casa Amèrica Catalunya,2014,3522.0
La Puntual,2014,1063.0
Jardins del Palau Reial de Pedralbes,2014,28000.0
Diversos espais de la ciutat,2014,5000.0
Diversos espais de la ciutat,2014,2499.0
Fabra i Coats,2014,500.0
Diversos espais de la ciutat,2014,7500.0
CCCB,2014,2200.0
Teatre Museu. Rei de la Màgia,2014,367.0
El Mercat de les Flors i Graner,2014,2659.0
Diversos espais de la ciutat,2014,2000.0
Diversos espais de la ciutat,2014,820.0
Diversos espais de la ciutat,2014,8000.0
Arts Santa Mònica i Antic Teatre,2014,2000.0
Diversos espais de la ciutat,2014,4882.0
Diversos espais de la ciutat,2014,80635.0
Diversos espais de la ciutat,2014,31087.0
CCCB,2014,6407.0
Diversos espais de la ciutat,2014,650.0
Antic Teatre,2014,500.0
Diversos espais de la ciutat,2014,6500.0
La Pedrera,2014,8352.0
CCCB,2014,700.0
Sant Pau Recinte Modernista i ESMUC,2014,1200.0
Centre Cultural Euskal Etxea i SAT,2014,300.0
Diversos espais de la ciutat,2014,110000.0
Lluïsos de Gràcia i Espai Jove la Fontana,2014,1000.0
Diversos espais de la ciutat,2014,1000.0
Fira de Barcelona,2014,130000.0
Centre Cívics Cotxeres Sants,2014,2536.0
Diversos espais de la ciutat,2014,31000.0
Poble Espanyol,2014,10200.0
Hotel Silken Diagonal Barcelona,2014,200.0
Diversos espais de la ciutat,2014,14700.0
Diversos espais de la ciutat,2014,224078.0
Espais Jove les Bases,2014,400.0
Casa Elizalde,2014,475.0
"MACBA, CCCB",2014,21000.0
Diversos espais de la ciutat,2014,600.0
Teatre del Raval,2014,577.0
Institut Francès de Barcelona i CCCB,2014,6155.0
Diversos espais de la ciutat,2014,5281.0
Centre Cívic Cotxeres de Borrell,2014,193.0
Convent de Sant Agustí i TMB,2014,2500.0
Diversos espais de la ciutat,2014,2647.0
Diversos espais de la ciutat,2014,6000.0
Diversos espais de la ciutat,2014,1500.0
La Pedrera,2014,309.0
nunArt Guinardó,2014,2000.0
DHUB,2014,2250.0
CCCB,2014,1720.0
Nau Ivanow,2014,372.0
Diversos espais de la ciutat,2014,190000.0
CCCB,2014,1684.0
Castell de Montjuïc,2014,29148.0
Rambla del Raval,2014,8600.0
Esplanada Catedral,2014,120000.0
Diversos espais de la ciutat,2014,12250.0
Fira de Montjuïc i Fira Gran Via de l'Hospitalet,2014,111980.0
Diversos espais de la ciutat,2014,6000.0
Fira de Barcelona,2014,18000.0
CCCB i Sala Conserves,2014,1200.0
Diversos espais de la ciutat,2014,27733.0
Transforma BCN,2014,1500.0
Sala Apolo i La (2),2014,700.0
CCCB,2014,255.0
Cinemes Girona,2014,1500.0
Diversos espais de la ciutat,2014,2000.0
