Codi_Dimensio,Desc_Dimensio,Codi_Valor,Desc_Valor_CA,Desc_Valor_EN
26,NACIONALITAT_DEST,83,Bòsnia i Hercegovina,Bosnia and Herzegovina
26,NACIONALITAT_DEST,84,Dominica,Dominica
26,NACIONALITAT_DEST,85,Iran,Iran
26,NACIONALITAT_DEST,86,Egipte,Egypt
26,NACIONALITAT_DEST,87,Azerbaidjan,Azerbaijan
26,NACIONALITAT_DEST,88,Líbia,Libya
26,NACIONALITAT_DEST,89,Luxemburg,Luxembourg
26,NACIONALITAT_DEST,90,Camerun,Cameroon
26,NACIONALITAT_DEST,91,Nicaragua,Nicaragua
26,NACIONALITAT_DEST,92,Malta,Malta
26,NACIONALITAT_DEST,93,Congo,Congo Republic
26,NACIONALITAT_DEST,94,Turquia,Turkey
26,NACIONALITAT_DEST,95,Kazakhstan,Kazakhstan
26,NACIONALITAT_DEST,96,Singapur,Singapore
26,NACIONALITAT_DEST,97,Uzbekistan,Uzbekistan
26,NACIONALITAT_DEST,98,Guatemala,Guatemala
26,NACIONALITAT_DEST,99,Panamà,Panama
26,NACIONALITAT_DEST,100,Costa d'Ivori,Ivory Coast
26,NACIONALITAT_DEST,101,Sierra Leone,Sierra Leone
26,NACIONALITAT_DEST,102,Níger,Niger
26,NACIONALITAT_DEST,103,Sud-àfrica,South Africa
26,NACIONALITAT_DEST,104,Mauritània,Mauritania
26,NACIONALITAT_DEST,105,Angola,Angola
26,NACIONALITAT_DEST,106,Benín,Benin
26,NACIONALITAT_DEST,107,Vietnam,Vietnam
26,NACIONALITAT_DEST,108,Vanuatu,Vanuatu
26,NACIONALITAT_DEST,109,Corea del Nord,North Korea
26,NACIONALITAT_DEST,111,Kirguizstan,Kyrgyzstan
26,NACIONALITAT_DEST,112,Nepal,Nepal
26,NACIONALITAT_DEST,114,Sri Lanka,Sri Lanka
26,NACIONALITAT_DEST,115,Gàmbia,Gambia
26,NACIONALITAT_DEST,116,Saint Kitts i Nevis,St Kitts and Nevis
26,NACIONALITAT_DEST,117,Islàndia,Iceland
26,NACIONALITAT_DEST,118,Tadjikistan,Tajikistan
26,NACIONALITAT_DEST,119,Nova Zelanda,New Zealand
26,NACIONALITAT_DEST,120,Aràbia Saudí,Saudi Arabia
26,NACIONALITAT_DEST,121,Tailàndia,Thailand
26,NACIONALITAT_DEST,122,Mali,Mali
26,NACIONALITAT_DEST,124,Liechtenstein,Liechtenstein
26,NACIONALITAT_DEST,125,"Sudan, el",Sudan
26,NACIONALITAT_DEST,126,Cap Verd,Cabo Verde
26,NACIONALITAT_DEST,127,Macedònia,North Macedonia
26,NACIONALITAT_DEST,128,"Emirats Àrabs Units, els",United Arab Emirates
26,NACIONALITAT_DEST,129,Etiòpia,Ethiopia
26,NACIONALITAT_DEST,130,Tanzània,Tanzania
26,NACIONALITAT_DEST,131,Eritrea,Eritrea
26,NACIONALITAT_DEST,132,Malàisia,Malaysia
26,NACIONALITAT_DEST,133,Turkmenistan,Turkmenistan
26,NACIONALITAT_DEST,134,San Marino,San Marino
26,NACIONALITAT_DEST,135,Burkina Faso,Burkina Faso
26,NACIONALITAT_DEST,136,Botswana,Botswana
26,NACIONALITAT_DEST,137,Kiribati,Kiribati
26,NACIONALITAT_DEST,138,Mònaco,Monaco
26,NACIONALITAT_DEST,139,Haití,Haiti
26,NACIONALITAT_DEST,140,Afganistan,Afghanistan
26,NACIONALITAT_DEST,141,República Democràtica del Congo,DR Congo
26,NACIONALITAT_DEST,142,Maurici,Mauritius
26,NACIONALITAT_DEST,144,"Iraq, l'",Iraq
26,NACIONALITAT_DEST,145,Kenya,Kenya
26,NACIONALITAT_DEST,146,Seychelles,Seychelles
26,NACIONALITAT_DEST,999,No consta,Not available
