Codi_Barri,Nom_Barri,Any,Superfície (ha)
8,l'Antiga Esquerra de l'Eixample,2020,122.8
9,la Nova Esquerra de l'Eixample,2020,134.1
10,Sant Antoni,2020,80.4
11,el Poble Sec,2020,458.5
12,la Marina del Prat Vermell,2020,1423.7
13,la Marina de Port,2020,126.9
14,la Font de la Guatlla,2020,29.7
15,Hostafrancs,2020,41.0
16,la Bordeta,2020,57.2
17,Sants - Badal,2020,41.5
18,Sants,2020,109.5
19,les Corts,2020,141.0
20,la Maternitat i Sant Ramon,2020,191.5
21,Pedralbes,2020,268.5
22,"Vallvidrera, el Tibidabo i les Planes",2020,1132.9
23,Sarrià,2020,304.7
24,les Tres Torres,2020,78.8
25,Sant Gervasi - la Bonanova,2020,223.4
26,Sant Gervasi - Galvany,2020,166.9
27,el Putxet i el Farró,2020,84.8
28,Vallcarca i els Penitents,2020,125.1
