addresses_neighborhood_id,addresses_neighborhood_name,secondary_filters_name,created,modified
6,la Sagrada Família,Casals d'avis,1997-04-22T00:00:00,2023-07-24T12:56:52.443527
6,la Sagrada Família,WiFi BCN,1997-04-22T00:00:00,2023-07-24T12:56:52.443527
10,Sant Antoni,Casals infantils,2005-02-11T12:05:39,2024-10-18T09:53:19.819677
31,la Vila de Gràcia,Casals i espais per a joves,2009-01-13T17:23:40,2024-11-04T14:38:43.089710
31,la Vila de Gràcia,WiFi BCN,2009-01-13T17:23:40,2024-11-04T14:38:43.089710
19,les Corts,Casals d'avis,1994-12-27T00:00:00,2021-07-28T11:43:50.930606
43,Horta,Casals d'avis,2004-04-16T13:36:58,2024-06-25T13:29:06.525706
43,Horta,WiFi BCN,2004-04-16T13:36:58,2024-06-25T13:29:06.525706
70,el Besòs i el Maresme,Centres cívics,1993-11-12T00:00:00,2024-06-26T13:04:20.322628
70,el Besòs i el Maresme,WiFi BCN,1993-11-12T00:00:00,2024-06-26T13:04:20.322628
65,el Clot,Centres cívics,1999-04-29T00:00:00,2024-08-01T07:58:44.836983
65,el Clot,WiFi BCN,1999-04-29T00:00:00,2024-08-01T07:58:44.836983
25,Sant Gervasi - la Bonanova,Centres cívics,2000-05-15T00:00:00,2024-11-14T08:25:14.655271
25,Sant Gervasi - la Bonanova,WiFi BCN,2000-05-15T00:00:00,2024-11-14T08:25:14.655271
6,la Sagrada Família,Casals d'avis,1992-03-19T00:00:00,2023-02-01T16:52:21.323195
37,el Carmel,Casals d'avis,1992-03-19T00:00:00,2023-02-01T16:52:21.250386
3,la Barceloneta,Centres cívics,1994-05-19T00:00:00,2024-06-17T14:48:47.967438
3,la Barceloneta,WiFi BCN,1994-05-19T00:00:00,2024-06-17T14:48:47.967438
73,la Verneda i la Pau,Bancs del Temps,2011-06-01T13:17:15,2024-02-05T14:28:19.087307
68,el Poblenou,Casals d'avis,2001-10-29T00:00:00,2023-10-23T17:56:46.999902
31,la Vila de Gràcia,Casals d'avis,2004-04-13T12:24:55,2023-02-24T13:42:01.959048
60,Sant Andreu,Casals de barri,2005-09-30T11:52:52,2024-06-26T09:12:35.911780
43,Horta,Bancs del Temps,2005-10-04T10:11:49,2021-07-06T17:13:45.614526
59,el Bon Pastor,Centres cívics,1989-04-13T00:00:00,2024-06-26T10:56:24.245934
59,el Bon Pastor,WiFi BCN,1989-04-13T00:00:00,2024-06-26T10:56:24.245934
20,la Maternitat i Sant Ramon,Casals d'avis,2002-04-17T00:00:00,2024-07-01T13:36:26.576119
20,la Maternitat i Sant Ramon,WiFi BCN,2002-04-17T00:00:00,2024-07-01T13:36:26.576119
9,la Nova Esquerra de l'Eixample,Casals i espais per a joves,1999-02-24T00:00:00,2024-08-09T13:01:52.244866
70,el Besòs i el Maresme,Casals de barri,2002-10-18T13:16:00,2024-08-01T07:46:27.786561
48,la Guineueta,Casals i espais per a joves,2003-11-07T13:57:18,2024-03-22T11:50:21.171087
48,la Guineueta,WiFi BCN,2003-11-07T13:57:18,2024-03-22T11:50:21.171087
55,Ciutat Meridiana,Casals i espais per a joves,1998-06-15T00:00:00,2022-11-25T13:48:21.798426
23,Sarrià,Casals infantils,1998-06-15T00:00:00,2022-03-11T14:19:21.442645
13,la Marina de Port,Casals d'avis,2001-12-10T00:00:00,2024-07-05T10:29:01.542401
13,la Marina de Port,WiFi BCN,2001-12-10T00:00:00,2024-07-05T10:29:01.542401
1,el Raval,Casals i espais per a joves,1995-03-30T00:00:00,2022-09-17T05:13:59.017704
5,el Fort Pienc,Centres cívics,1999-02-12T00:00:00,2024-06-04T13:06:07.899802
5,el Fort Pienc,WiFi BCN,1999-02-12T00:00:00,2024-06-04T13:06:07.899802
35,el Guinardó,Centres cívics,1984-05-30T00:00:00,2024-11-13T09:21:27.951972
35,el Guinardó,WiFi BCN,1984-05-30T00:00:00,2024-11-13T09:21:27.951972
56,Vallbona,Casals infantils,2002-07-01T14:24:37,2023-12-18T15:58:35.965260
11,el Poble-sec,Casals d'avis,2006-02-09T16:58:02,2022-09-17T06:34:33.930524
20,la Maternitat i Sant Ramon,Casals d'avis,1999-10-06T00:00:00,2023-03-01T10:06:37.168747
61,la Sagrera,Casals i espais per a joves,2005-10-03T13:18:00,2022-09-17T06:29:31.089694
73,la Verneda i la Pau,Casals d'avis,2005-10-03T18:45:11,2024-09-06T12:18:14.445874
22,"Vallvidrera, el Tibidabo i les Planes",Casals infantils,2005-10-04T10:06:12,2022-03-03T08:52:23.032720
10,Sant Antoni,Casals d'avis,2004-04-15T13:34:33,2022-09-17T06:16:34.436750
20,la Maternitat i Sant Ramon,Bancs del Temps,2001-07-12T00:00:00,2024-07-26T12:54:41.006688
35,el Guinardó,Casals d'avis,1985-02-21T00:00:00,2023-12-14T12:41:38.351137
35,el Guinardó,WiFi BCN,1985-02-21T00:00:00,2023-12-14T12:41:38.351137
55,Ciutat Meridiana,Casals d'avis,1985-02-21T00:00:00,2023-03-09T15:06:13.162401
55,Ciutat Meridiana,WiFi BCN,1985-02-21T00:00:00,2023-03-09T15:06:13.162401
10,Sant Antoni,Casals i espais per a joves,1985-10-14T00:00:00,2023-02-01T16:52:24.446025
20,la Maternitat i Sant Ramon,Casals d'avis,2004-04-15T12:41:54,2022-09-17T06:16:29.540388
6,la Sagrada Família,Centres cívics,2001-07-25T00:00:00,2024-11-12T13:05:15.281199
6,la Sagrada Família,WiFi BCN,2001-07-25T00:00:00,2024-11-12T13:05:15.281199
51,Verdun,Casals d'avis,2004-04-06T17:12:37,2024-09-06T12:15:01.537667
54,Torre Baró,Casals de barri,2005-09-30T11:48:04,2021-11-19T09:44:47.163241
54,Torre Baró,WiFi BCN,2005-09-30T11:48:04,2021-11-19T09:44:47.163241
47,Can Peguera,Casals de barri,2005-09-30T11:51:35,2024-06-25T14:38:55.981874
47,Can Peguera,WiFi BCN,2005-09-30T11:51:35,2024-06-25T14:38:55.981874
1,el Raval,Casals d'avis,1992-05-29T00:00:00,2024-07-01T13:30:52.994148
1,el Raval,WiFi BCN,1992-05-29T00:00:00,2024-07-01T13:30:52.994148
29,el Coll,Casals i espais per a joves,1995-01-26T00:00:00,2022-03-11T14:22:20.344503
29,el Coll,WiFi BCN,1995-01-26T00:00:00,2022-03-11T14:22:20.344503
66,el Parc i la Llacuna del Poblenou,Centres cívics,2006-05-30T16:50:31,2024-11-15T07:50:29.339984
66,el Parc i la Llacuna del Poblenou,WiFi BCN,2006-05-30T16:50:31,2024-11-15T07:50:29.339984
11,el Poble-sec,Casals i espais per a joves,2006-11-28T17:48:41,2023-07-14T08:04:31.888225
30,la Salut,Casals d'avis,2005-10-03T16:21:41,2023-01-10T11:01:04.865366
30,la Salut,WiFi BCN,2005-10-03T16:21:41,2023-01-10T11:01:04.865366
60,Sant Andreu,Bancs del Temps,2005-10-04T12:42:17,2021-07-28T11:22:39.623368
60,Sant Andreu,Casals d'avis,2005-09-26T16:58:05,2024-06-26T10:43:51.588622
60,Sant Andreu,WiFi BCN,2005-09-26T16:58:05,2024-06-26T10:43:51.588622
72,Sant Martí de Provençals,Casals d'avis,1985-05-21T00:00:00,2024-06-26T12:13:09.305309
72,Sant Martí de Provençals,WiFi BCN,1985-05-21T00:00:00,2024-06-26T12:13:09.305309
68,el Poblenou,Casals d'avis,1985-02-21T00:00:00,2024-06-26T12:15:23.254716
68,el Poblenou,WiFi BCN,1985-02-21T00:00:00,2024-06-26T12:15:23.254716
58,Baró de Viver,Casals infantils,1992-11-05T00:00:00,2022-03-03T09:16:45.473310
72,Sant Martí de Provençals,Bancs del Temps,1992-11-09T00:00:00,2024-02-05T14:24:35.213643
37,el Carmel,Casals d'avis,1994-04-20T00:00:00,2024-09-06T12:11:55.275017
38,la Teixonera,Centres cívics,1995-01-20T00:00:00,2024-11-14T09:49:06.256429
38,la Teixonera,WiFi BCN,1995-01-20T00:00:00,2024-11-14T09:49:06.256429
11,el Poble-sec,Casals d'avis,1985-02-21T00:00:00,2024-07-05T10:28:46.285836
11,el Poble-sec,WiFi BCN,1985-02-21T00:00:00,2024-07-05T10:28:46.285836
24,les Tres Torres,Casals d'avis,1985-02-21T00:00:00,2023-02-01T16:52:23.897924
46,el Turó de la Peira,Casals d'avis,1987-03-20T00:00:00,2024-05-14T10:29:14.309448
46,el Turó de la Peira,WiFi BCN,1987-03-20T00:00:00,2024-05-14T10:29:14.309448
28,Vallcarca i els Penitents,Casals de barri,2016-05-24T08:49:00,2024-10-09T14:14:04.967305
35,el Guinardó,Casals i espais per a joves,2016-04-18T12:19:47,2024-07-26T11:46:57.634016
2,el Barri Gòtic,Centres cívics,1991-05-16T00:00:00,2024-11-12T13:07:42.276370
2,el Barri Gòtic,WiFi BCN,1991-05-16T00:00:00,2024-11-12T13:07:42.276370
72,Sant Martí de Provençals,Casals infantils,1985-10-30T00:00:00,2024-03-04T17:17:17.141296
72,Sant Martí de Provençals,WiFi BCN,1985-10-30T00:00:00,2024-03-04T17:17:17.141296
61,la Sagrera,Centres cívics,1984-05-30T00:00:00,2024-06-26T10:59:21.359051
61,la Sagrera,WiFi BCN,1984-05-30T00:00:00,2024-06-26T10:59:21.359051
