Latitud,Titularitat,Codi_Districte,Tipus_Us,Notes_Equipament,Nom_Districte,Notes_Dades,Nom_Barri,Indicador,Tipus_Equipament,Nom_Equipament,Valor,Codi_Barri,Ambit,_id,Any,Longitud,TipusGeneral,TipusEquipament,Equipament
41.4025295461622,Ajuntament de Barcelona,10,Centres patrimonials,"2/12/2008: el Museu de les Arts Decoratives, el Museu Tèxtil i el Museu de Ceràmica es van constituir com el nou Disseny Hub Barcelona; 2009-2012: el Disseny Hub Barcelona va desenvolupar la seva activitat a les seus del carrer Montcada i del Palau de Pedralbes; 2012: les seus de Montcada i Pedralbes van tancar per preparar trasllat a un nou edifici a la plaça de les Glòries; 13/12/2014: s'inaugura el Disseny Hub Barcelona - Museu del Disseny al nou edifici de la plaça de les Glòries; 2024: el DHub es posiciona com el centre neuràlgic del disseny, l¿arquitectura, l¿audiovisual, la tecnologia, el videojoc i la innovació i és la seu del Museu del Disseny de Barcelona.",Sant Martí,,el Parc i la Llacuna del Poblenou,Visites_Exposicions_Temporals,Centres d'exposicions,Disseny Hub Barcelona. DHub,67421,66,Arts visuals,33,2023,2.1880652060461467,,,
41.385641483,Ajuntament de Barcelona,1,Centres patrimonials,,Ciutat Vella,,"Sant Pere, Santa Caterina i la Ribera",Num_Exposicions_Temporals,Museus i col·leccions,El Born Centre de Cultura i Memòria,2,4,Història i memòria,34,2023,2.183568044,,,
41.385641483,Ajuntament de Barcelona,1,Centres patrimonials,,Ciutat Vella,,"Sant Pere, Santa Caterina i la Ribera",Visitants,Museus i col·leccions,El Born Centre de Cultura i Memòria,926092,4,Història i memòria,35,2023,2.183568044,,,
41.385641483,Ajuntament de Barcelona,1,Centres patrimonials,,Ciutat Vella,,"Sant Pere, Santa Caterina i la Ribera",Visites_Exposicions_Temporals,Museus i col·leccions,El Born Centre de Cultura i Memòria,54963,4,Història i memòria,36,2023,2.183568044,,,
41.373639,Ajuntament de Barcelona,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Visitants,Museus i col·leccions,Espai Bombers Parc de la Prevenció,8207,11,Història i memòria,37,2023,2.1543788,,,
,Ajuntament de Barcelona,1,Centres patrimonials,,Ciutat Vella,,el Barri Gòtic,Visitants,Espais d'interès patrimonial,Espais patrimonials del MUHBA,444696,2,Història i memòria,38,2023,,,,
41.390963134,Titularitat privada,2,Centres d'exposicions,,Eixample,,la Dreta de l'Eixample,Num_Exposicions_Temporals,Centres d'exposicions,Espais VolART i VolART2. Fundació Vila Casas,3,7,Arts visuals,39,2023,2.175293998,,,
41.390963134,Titularitat privada,2,Centres d'exposicions,,Eixample,,la Dreta de l'Eixample,Visitants,Centres d'exposicions,Espais VolART i VolART2. Fundació Vila Casas,15385,7,Arts visuals,40,2023,2.175293998,,,
41.390963134,Titularitat privada,2,Centres d'exposicions,,Eixample,,la Dreta de l'Eixample,Visites_Exposicions_Temporals,Centres d'exposicions,Espais VolART i VolART2. Fundació Vila Casas,66,7,Arts visuals,41,2023,2.175293998,,,
41.433762956,Ajuntament de Barcelona,9,Centres d'exposicions,,Sant Andreu,,Sant Andreu,Num_Exposicions_Temporals,Centres d'exposicions,Fabra i Coats - Centre d'Art Contemporani,4,60,Arts visuals,42,2023,2.190815632,,,
41.433762956,Ajuntament de Barcelona,9,Centres d'exposicions,,Sant Andreu,,Sant Andreu,Visites_Exposicions_Temporals,Centres d'exposicions,Fabra i Coats - Centre d'Art Contemporani,5300,60,Arts visuals,44,2023,2.190815632,,,
41.391522171,Consorci o fundació amb presència administracions públiques,2,Centres patrimonials,,Eixample,,la Dreta de l'Eixample,Num_Exposicions_Temporals,Museus i col·leccions,Fundació Antoni Tàpies,6,7,Arts visuals,45,2023,2.163757744,,,
41.391522171,Consorci o fundació amb presència administracions públiques,2,Centres patrimonials,,Eixample,,la Dreta de l'Eixample,Visitants,Museus i col·leccions,Fundació Antoni Tàpies,40219,7,Arts visuals,46,2023,2.163757744,,,
41.391522171,Consorci o fundació amb presència administracions públiques,2,Centres patrimonials,,Eixample,,la Dreta de l'Eixample,Visites_Exposicions_Temporals,Museus i col·leccions,Fundació Antoni Tàpies,67936,7,Arts visuals,47,2023,2.163757744,,,
41.3876349,Titularitat privada,1,Centres patrimonials,,Ciutat Vella,,"Sant Pere, Santa Caterina i la Ribera",Fons_Colleccio,Museus i col·leccions,Fundació Foto Colectania,28172,4,Arts visuals,48,2023,2.1827391,,,
41.3876349,Titularitat privada,1,Centres patrimonials,,Ciutat Vella,,"Sant Pere, Santa Caterina i la Ribera",Num_Exposicions_Temporals,Museus i col·leccions,Fundació Foto Colectania,3,4,Arts visuals,49,2023,2.1827391,,,
41.3876349,Titularitat privada,1,Centres patrimonials,,Ciutat Vella,,"Sant Pere, Santa Caterina i la Ribera",Visitants,Museus i col·leccions,Fundació Foto Colectania,18539,4,Arts visuals,50,2023,2.1827391,,,
41.3876349,Titularitat privada,1,Centres patrimonials,,Ciutat Vella,,"Sant Pere, Santa Caterina i la Ribera",Visites_Exposicions_Temporals,Museus i col·leccions,Fundació Foto Colectania,18539,4,Arts visuals,51,2023,2.1827391,,,
41.368986024213875,Titularitat privada,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Fons_Colleccio,Museus i col·leccions,Fundació Fran Daurel,470,11,Arts visuals,52,2023,2.147697935147927,,,
41.368986024213875,Titularitat privada,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Visitants,Museus i col·leccions,Fundació Fran Daurel,176128,11,Arts visuals,53,2023,2.147697935147927,,,
41.36863,Consorci o fundació amb presència administracions públiques,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Fons_Colleccio,Museus i col·leccions,Fundació Joan Miró,22809,11,Arts visuals,54,2023,2.159851,,,
41.36863,Consorci o fundació amb presència administracions públiques,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Num_Exposicions_Temporals,Museus i col·leccions,Fundació Joan Miró,8,11,Arts visuals,55,2023,2.159851,,,
41.36863,Consorci o fundació amb presència administracions públiques,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Visitants,Museus i col·leccions,Fundació Joan Miró,358783,11,Arts visuals,56,2023,2.159851,,,
41.36863,Consorci o fundació amb presència administracions públiques,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Visites_Exposicions_Temporals,Museus i col·leccions,Fundació Joan Miró,289301,11,Arts visuals,57,2023,2.159851,,,
41.39656898913028,Ajuntament de Barcelona,5,Centres patrimonials,,Sarrià-Sant Gervasi,,Sant Gervasi - Galvany,Visitants,Espais d'interès patrimonial,Fundació Julio Muñoz Ramonet,27516,26,Història i memòria,58,2023,2.147035912539778,,,
41.3826167,Titularitat privada,4,Centres patrimonials,,Les Corts,,la Maternitat i Sant Ramon,Fons_Colleccio,Museus i col·leccions,Fundació Suñol,1343,20,Arts visuals,59,2023,2.1262746,,,
41.3826167,Titularitat privada,4,Centres patrimonials,,Les Corts,,la Maternitat i Sant Ramon,Num_Exposicions_Temporals,Museus i col·leccions,Fundació Suñol,4,20,Arts visuals,60,2023,2.1262746,,,
41.3826167,Titularitat privada,4,Centres patrimonials,,Les Corts,,la Maternitat i Sant Ramon,Visitants,Museus i col·leccions,Fundació Suñol,3500,20,Arts visuals,61,2023,2.1262746,,,
41.3826167,Titularitat privada,4,Centres patrimonials,,Les Corts,,la Maternitat i Sant Ramon,Visites_Exposicions_Temporals,Museus i col·leccions,Fundació Suñol,3500,20,Arts visuals,62,2023,2.1262746,,,
41.380783393,Titularitat privada,1,Centres patrimonials,,Ciutat Vella,,el Barri Gòtic,Num_Exposicions_Temporals,Museus i col·leccions,Hash Marihuana Cáñamo & Hemp Museum,1,2,Història i memòria,63,2023,2.180139311,,,
41.380783393,Titularitat privada,1,Centres patrimonials,,Ciutat Vella,,el Barri Gòtic,Visitants,Museus i col·leccions,Hash Marihuana Cáñamo & Hemp Museum,6750,2,Història i memòria,64,2023,2.180139311,,,
41.380783393,Titularitat privada,1,Centres patrimonials,,Ciutat Vella,,el Barri Gòtic,Visites_Exposicions_Temporals,Museus i col·leccions,Hash Marihuana Cáñamo & Hemp Museum,5200,2,Història i memòria,65,2023,2.180139311,,,
41.39795,Titularitat privada,10,Centres d'exposicions,,Sant Martí,,el Poblenou,Num_Exposicions_Temporals,Centres d'exposicions,Ideal - Centre d'Arts Digitals,2,68,Arts visuals,66,2023,2.20267,,,
41.39795,Titularitat privada,10,Centres d'exposicions,,Sant Martí,,el Poblenou,Visitants,Centres d'exposicions,Ideal - Centre d'Arts Digitals,219136,68,Arts visuals,67,2023,2.20267,,,
41.39795,Titularitat privada,10,Centres d'exposicions,,Sant Martí,,el Poblenou,Visites_Exposicions_Temporals,Centres d'exposicions,Ideal - Centre d'Arts Digitals,214584,68,Arts visuals,68,2023,2.20267,,,
41.388415,Titularitat privada,10,Centres d'exposicions,,Sant Martí,,la Vila Olímpica del Poblenou,Num_Exposicions_Temporals,Centres d'exposicions,KBr Fundación MAPFRE,8,67,Arts visuals,69,2023,2.1960494,,,
41.388415,Titularitat privada,10,Centres d'exposicions,,Sant Martí,,la Vila Olímpica del Poblenou,Visitants,Centres d'exposicions,KBr Fundación MAPFRE,68181,67,Arts visuals,70,2023,2.1960494,,,
41.388415,Titularitat privada,10,Centres d'exposicions,,Sant Martí,,la Vila Olímpica del Poblenou,Visites_Exposicions_Temporals,Centres d'exposicions,KBr Fundación MAPFRE,68181,67,Arts visuals,71,2023,2.1960494,,,
41.376477557,Titularitat privada,1,Centres patrimonials,,Ciutat Vella,,el Barri Gòtic,Visitants,Museus i col·leccions,L'Aquàrium,1559494,2,Ciència,72,2023,2.184560919,,,
41.381057326,Ajuntament de Barcelona,1,Centres d'exposicions,,Ciutat Vella,,el Raval,Num_Exposicions_Temporals,Centres d'exposicions,La Capella,15,1,Arts visuals,73,2023,2.169793857,,,
41.381057326,Ajuntament de Barcelona,1,Centres d'exposicions,,Ciutat Vella,,el Raval,Visitants,Centres d'exposicions,La Capella,71482,1,Arts visuals,74,2023,2.169793857,,,
41.381057326,Ajuntament de Barcelona,1,Centres d'exposicions,,Ciutat Vella,,el Raval,Visites_Exposicions_Temporals,Centres d'exposicions,La Capella,115759,1,Arts visuals,75,2023,2.169793857,,,
41.395316302,Titularitat privada,2,Centres patrimonials,,Eixample,,la Dreta de l'Eixample,Num_Exposicions_Temporals,Espais d'interès patrimonial,La Pedrera,3,7,Arts visuals,76,2023,2.162043384,,,
41.395316302,Titularitat privada,2,Centres patrimonials,,Eixample,,la Dreta de l'Eixample,Visitants,Espais d'interès patrimonial,La Pedrera,1191589,7,Arts visuals,77,2023,2.162043384,,,
41.395316302,Titularitat privada,2,Centres patrimonials,,Eixample,,la Dreta de l'Eixample,Visites_Exposicions_Temporals,Espais d'interès patrimonial,La Pedrera,118433,7,Arts visuals,78,2023,2.162043384,,,
41.382498322,Ajuntament de Barcelona,1,Centres d'exposicions,,Ciutat Vella,,el Raval,Num_Exposicions_Temporals,Centres d'exposicions,La Virreina Centre de la Imatge,13,1,Arts visuals,79,2023,2.171708630,,,
41.382498322,Ajuntament de Barcelona,1,Centres d'exposicions,,Ciutat Vella,,el Raval,Visitants,Centres d'exposicions,La Virreina Centre de la Imatge,125937,1,Arts visuals,80,2023,2.171708630,,,
41.382498322,Ajuntament de Barcelona,1,Centres d'exposicions,,Ciutat Vella,"A més dels visitants a l'edifici propi, La Virreina Centre de la Imatge va organitzar l'exposició ""Línies dures"" a l'antiga seu de l'editorial Gustavo Gili, que va rebre 13.932 visites.",el Raval,Visites_Exposicions_Temporals,Centres d'exposicions,La Virreina Centre de la Imatge,239492,1,Arts visuals,81,2023,2.171708630,,,
41.370153865,Altres administracions públiques,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Fons_Colleccio,Museus i col·leccions,Museu d'Arqueologia de Catalunya,49107,11,Història i memòria,82,2023,2.157646024,,,
41.370153865,Altres administracions públiques,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Num_Exposicions_Temporals,Museus i col·leccions,Museu d'Arqueologia de Catalunya,3,11,Història i memòria,83,2023,2.157646024,,,
41.370153865,Altres administracions públiques,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Visitants,Museus i col·leccions,Museu d'Arqueologia de Catalunya,33188,11,Història i memòria,84,2023,2.157646024,,,
41.370153865,Altres administracions públiques,3,Centres patrimonials,,Sants-Montjuïc,,el Poble Sec,Visites_Exposicions_Temporals,Museus i col·leccions,Museu d'Arqueologia de Catalunya,64844,11,Història i memòria,85,2023,2.157646024,,,
41.383145956,Consorci o fundació amb presència administracions públiques,1,Centres patrimonials,,Ciutat Vella,,el Raval,Fons_Colleccio,Museus i col·leccions,Museu d'Art Contemporani de Barcelona. MACBA,6674,1,Arts visuals,86,2023,2.167830774,,,
41.383145956,Consorci o fundació amb presència administracions públiques,1,Centres patrimonials,,Ciutat Vella,,el Raval,Num_Exposicions_Temporals,Museus i col·leccions,Museu d'Art Contemporani de Barcelona. MACBA,14,1,Arts visuals,87,2023,2.167830774,,,
41.383145956,Consorci o fundació amb presència administracions públiques,1,Centres patrimonials,,Ciutat Vella,,el Raval,Visitants,Museus i col·leccions,Museu d'Art Contemporani de Barcelona. MACBA,257991,1,Arts visuals,88,2023,2.167830774,,,
41.383145956,Consorci o fundació amb presència administracions públiques,1,Centres patrimonials,,Ciutat Vella,,el Raval,Visites_Exposicions_Temporals,Museus i col·leccions,Museu d'Art Contemporani de Barcelona. MACBA,415418,1,Arts visuals,89,2023,2.167830774,,,
41.384316,Ajuntament de Barcelona,1,Centres patrimonials,,Ciutat Vella,,el Barri Gòtic,Fons_Colleccio,Museus i col·leccions,Museu d'Història de Barcelona. MUHBA,84026,2,Història i memòria,90,2023,2.177521,,,
41.384316,Ajuntament de Barcelona,1,Centres patrimonials,,Ciutat Vella,,el Barri Gòtic,Num_Exposicions_Temporals,Museus i col·leccions,Museu d'Història de Barcelona. MUHBA,11,2,Història i memòria,91,2023,2.177521,,,
41.384316,Ajuntament de Barcelona,1,Centres patrimonials,,Ciutat Vella,,el Barri Gòtic,Visitants,Museus i col·leccions,Museu d'Història de Barcelona. MUHBA,829918,2,Història i memòria,92,2023,2.177521,,,
41.384316,Ajuntament de Barcelona,1,Centres patrimonials,,Ciutat Vella,,el Barri Gòtic,Visites_Exposicions_Temporals,Museus i col·leccions,Museu d'Història de Barcelona. MUHBA,94486,2,Història i memòria,93,2023,2.177521,,,
41.380668608,Altres administracions públiques,1,Centres patrimonials,,Ciutat Vella,,la Barceloneta,Fons_Colleccio,Museus i col·leccions,Museu d'Història de Catalunya,15289,3,Història i memòria,94,2023,2.185503480,,,
41.380668608,Altres administracions públiques,1,Centres patrimonials,,Ciutat Vella,,la Barceloneta,Num_Exposicions_Temporals,Museus i col·leccions,Museu d'Història de Catalunya,4,3,Història i memòria,95,2023,2.185503480,,,
41.380668608,Altres administracions públiques,1,Centres patrimonials,,Ciutat Vella,,la Barceloneta,Visitants,Museus i col·leccions,Museu d'Història de Catalunya,116827,3,Història i memòria,96,2023,2.185503480,,,
41.380668608,Altres administracions públiques,1,Centres patrimonials,,Ciutat Vella,,la Barceloneta,Visites_Exposicions_Temporals,Museus i col·leccions,Museu d'Història de Catalunya,13042,3,Història i memòria,97,2023,2.185503480,,,
41.410779883,Consorci o fundació amb presència administracions públiques,10,Centres patrimonials,,Sant Martí,,el Besòs i el Maresme,Fons_Colleccio,Museus i col·leccions,Museu de Ciències Naturals de Barcelona. MCNB,3212770,70,Ciència,98,2023,2.220482541,,,
41.410779883,Consorci o fundació amb presència administracions públiques,10,Centres patrimonials,,Sant Martí,,el Besòs i el Maresme,Num_Exposicions_Temporals,Museus i col·leccions,Museu de Ciències Naturals de Barcelona. MCNB,5,70,Ciència,99,2023,2.220482541,,,
41.410779883,Consorci o fundació amb presència administracions públiques,10,Centres patrimonials,,Sant Martí,El desembre de 2023 es va obrir la nova seu Centre Martorell d'Exposicions que del 19 de desembre de 2023 al 7 de gener de 2024 va oferir entrada gratuïta a tots els visitants.,el Besòs i el Maresme,Visitants,Museus i col·leccions,Museu de Ciències Naturals de Barcelona. MCNB,343132,70,Ciència,100,2023,2.220482541,,,
41.410779883,Consorci o fundació amb presència administracions públiques,10,Centres patrimonials,,Sant Martí,,el Besòs i el Maresme,Visites_Exposicions_Temporals,Museus i col·leccions,Museu de Ciències Naturals de Barcelona. MCNB,128288,70,Ciència,101,2023,2.220482541,,,
41.382282529,Titularitat privada,1,Centres patrimonials,,Ciutat Vella,,el Barri Gòtic,Visitants,Museus i col·leccions,Museu de l'Eròtica,156924,2,Història i memòria,102,2023,2.172714946,,,
41.398366625,Consorci o fundació amb presència administracions públiques,2,Centres patrimonials,,Eixample,,el Fort Pienc,Fons_Colleccio,Museus i col·leccions,Museu de la Música,3163,5,Història i memòria,103,2023,2.184867722,,,
41.398366625,Consorci o fundació amb presència administracions públiques,2,Centres patrimonials,,Eixample,,el Fort Pienc,Num_Exposicions_Temporals,Museus i col·leccions,Museu de la Música,6,5,Història i memòria,104,2023,2.184867722,,,
41.398366625,Consorci o fundació amb presència administracions públiques,2,Centres patrimonials,,Eixample,,el Fort Pienc,Visitants,Museus i col·leccions,Museu de la Música,46782,5,Història i memòria,105,2023,2.184867722,,,
