Codi_barri;Nom_barri;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
59;el Bon Pastor  ;10,9;11,54;10,83;11,88;10,5;10,85;9,52;8,71;8,82;8,05
60;Sant Andreu  ;13,96;12,65;11,89;12,5;12,47;11,91;12,33;10,9;10,03;9,19
61;la Sagrera  ;14,54;12,89;11,98;12,4;12,65;11,92;10,84;10,49;9,73;9,05
62;el Congrés i els Indians  ;14,02;12,46;11,68;12,52;12,07;11,93;11,37;10,39;9,45;9,24
63;Navas  ;14,45;12,65;11,88;12,67;12,43;12,03;11,47;10,81;9,73;8,91
64;el Camp de l'Arpa del Clot  ;15,76;14,14;13;13,57;13,54;13,03;12,95;11,71;10,63;9,74
65;el Clot  ;15,4;13,63;12,88;13,35;13,25;12,55;12,45;11,19;10,31;9,63
66;el Parc i la Llacuna del Poblenou  ;17,25;15,9;14,27;14,33;15,02;13,96;13,76;12,79;11,49;10,24
67;la Vila Olímpica del Poblenou  ;20,38;19,11;16,76;17,66;17,55;16,87;17,13;16,21;14,29;13,18
68;el Poblenou  ;17,78;16,51;14,33;14,92;15,08;14,46;13,97;12,79;11,73;10,57
69;Diagonal Mar i el Front Marítim del Poblenou  ;18,81;17,24;15,66;16,66;17,26;15,27;16,03;13,87;12,49;11,18
70;el Besòs i el Maresme  ;12,49;12,13;11,34;11,91;11,34;10,95;10,03;8,77;8,38;7,74
71;Provençals del Poblenou  ;16,35;14,54;13,47;13,98;14,11;13,63;12,94;11,78;9,96;9,67
72;Sant Martí de Provençals  ;13,54;12,13;11,49;11,78;11,9;11,5;10,9;9,97;9,4;8,88
73;la Verneda i la Pau  ;16,3;11,42;11,07;11,55;11,48;11,19;10,16;9,11;9,1;8,32
