Assistents_fora_de_Barcelona,Edicio,Titularitat,DataInici,DataFi,Assistents_a_Barcelona,Notes_Dades,Espai,Ambit,NomDelFestival,Organitzador,_id,Any,Tipus,Assistents,Nota
,5,Titularitat privada,2023-11-03T00:00:00,2023-05-20T00:00:00,,,Diversos espais de la ciutat,Música,Soundit,MUSIC KITCHEN,29,2023,Festivals,,
131,6,Consorci o fundació amb presència administracions públiques,2023-03-15T00:00:00,2023-03-19T00:00:00,2658,,Centre de Cultura Contemporània de Barcelona. CCCB,Audiovisuals,Brain Film Fest,Fund. Pasqual Maragall i Minimalfilms,30,2023,Festivals,,
70,2,Titularitat privada,2023-03-15T00:00:00,2023-03-19T00:00:00,1808,,Diversos espais de la ciutat,Audiovisuals,LATcinema Fest,Casa Amèrica Catalunya,31,2023,Festivals,,
137,5,Titularitat privada,2023-03-16T00:00:00,2023-03-17T00:00:00,69,,Diversos espais de la ciutat,Música,Jazz I am,Fund. Privada Taller de Músics,32,2023,Fires,,
140,14,Titularitat privada,2023-03-17T00:00:00,2023-02-04T00:00:00,1660,,Diversos espais de la ciutat,Arts escèniques,Festival Mutis. Festival de Teatre Independent de Barcelona,Asoc. La Coquera,33,2023,Festivals,,
905,13,Titularitat privada,2023-03-23T00:00:00,2023-02-04T00:00:00,20696,,Diversos espais de la ciutat,Audiovisuals,D'A Film Festival Barcelona,Noucinemart,34,2023,Festivals,,
,23,Titularitat privada,2023-03-23T00:00:00,2023-03-25T00:00:00,5000,,Disseny Hub Barcelona,Multidisciplinaris i altres,OFFF,Offf Events S.L.,35,2023,Festivals,,
,41,Titularitat privada,2023-03-31T00:00:00,2023-02-04T00:00:00,110000,,Fira de Barcelona Montjuïc,Lletres,Còmic Barcelona,Fed. d'Institucions Professionals del Còmic - FICOMIC,36,2023,Fires,,
,14,Titularitat privada,2023-09-04T00:00:00,2023-04-13T00:00:00,,,Diversos espais de la ciutat,Música,MUTEK Barcelona,Association MUTEK.ES,37,2023,Festivals,,
,3,Titularitat privada,2023-11-04T00:00:00,2023-04-16T00:00:00,1810,,Diversos espais de la ciutat,Música,One Heart International Gospel Festival,Anexa,38,2023,Festivals,,
,5,Consorci o fundació amb presència administracions públiques,2023-12-04T00:00:00,2023-04-26T00:00:00,1020,,Diversos espais de la ciutat,Música,Festival Llums d'Antiga,Consorci de L'Auditori i l'Orquestra,39,2023,Festivals,,
,9,Mixta,2023-04-14T00:00:00,2023-04-16T00:00:00,878,,Ateneu Popular 9 Barris,Arts escèniques,Rombic,Ateneu Popular 9 Barris,40,2023,Festivals,,
,18,Ajuntament de Barcelona,2023-04-15T00:00:00,2023-04-16T00:00:00,12888,,Diversos espais de la ciutat,Lletres,Món Llibre,Institut de Cultura. Ajuntament de Barcelona,41,2023,Festivals,,
,7,Titularitat privada,2023-04-20T00:00:00,2023-04-28T00:00:00,18700,,Diversos espais de la ciutat,Audiovisuals,Festival Internacional de Cine de Barcelona - Sant Jordi,ESPECTARAMA S.A.,42,2023,Festivals,,
,21,Titularitat privada,2023-05-31T00:00:00,2023-04-06T00:00:00,243000,,Parc del Fòrum,Música,Primavera Sound,Primavera Sound,58,2023,Festivals,,
,2,Consorci o fundació amb presència administracions públiques,2023-04-20T00:00:00,2023-04-30T00:00:00,20000,,Parc de les Glòries,Arts visuals,Model. Festival d'Arquitectures de Barcelona,Fund. Mies van der Rohe,43,2023,Festivals,,
315,11,Titularitat privada,2023-04-21T00:00:00,2023-06-10T00:00:00,804,,Diversos espais de la ciutat,Multidisciplinaris i altres,Terrats en cultura,Coincidències,44,2023,Festivals,,
,18,Titularitat privada,2023-04-29T00:00:00,2023-12-17T00:00:00,800,,Diversos espais de la ciutat,Audiovisuals,Flux. Festival de Vídeo d'Autor,Habitual Video Team,45,2023,Festivals,,
196,3,Titularitat privada,2023-03-05T00:00:00,2023-05-21T00:00:00,592,,Diversos espais de la ciutat,Audiovisuals,IMPACTE! Festival de Cinema i Drets Humans de Catalunya,Assoc. Impacte. Cinema i Drets Humans,46,2023,Festivals,,
,13,Ajuntament de Barcelona,2023-04-05T00:00:00,2023-05-26T00:00:00,1145,,Districte de Ciutat Vella,Arts visuals,Enfocats,Centre Cívic Pati Llimona. Ajuntament de Barcelona,47,2023,Festivals,,
,3,Titularitat privada,2023-06-05T00:00:00,2023-06-05T00:00:00,610,,Fabra i Coats Fàbrica de creació,Multidisciplinaris i altres,Festival #AccióMigrant,Connectats!,48,2023,Festivals,,
,1,Titularitat privada,2023-07-05T00:00:00,2023-07-05T00:00:00,10185,,Castell de Montjuïc,Música,Ameba Parkfest,Associació de Música Electrònica de Barcelona,49,2023,Festivals,,
,26,Ajuntament de Barcelona,2023-09-05T00:00:00,2023-05-16T00:00:00,5225,,Diversos espais de la ciutat,Lletres,Barcelona Poesia,Institut de Cultura. Ajuntament de Barcelona,50,2023,Festivals,,
,1,Consorci o fundació amb presència administracions públiques,2023-05-13T00:00:00,2023-05-13T00:00:00,800,,Centre de Cultura Contemporània de Barcelona. CCCB,Multidisciplinaris i altres,Anti-Gutter,CCCB,51,2023,Festivals,,
,26,Titularitat privada,2023-05-15T00:00:00,2023-05-28T00:00:00,9602,,Diversos espais de la ciutat,Audiovisuals,DocsBarcelona,Planeta Med (Parallel40),52,2023,Festivals,,
,9,Titularitat privada,2023-05-18T00:00:00,2023-05-21T00:00:00,10000,,Fabra i Coats Fàbrica de creació,Lletres,Literal,KULT (Cultura21 SCCL),53,2023,Fires,,
2800,9,Titularitat privada,2023-05-19T00:00:00,2023-09-18T00:00:00,11200,,Diversos espais de la ciutat,Arts visuals,Barcelona Gallery Weekend,Art Barcelona Associació de galeries,54,2023,Festivals,,
,6,Titularitat privada,2023-05-25T00:00:00,2023-03-12T00:00:00,,,Diversos espais de la ciutat,Audiovisuals,Festival Wallay!,Catalunya Film Festivals,55,2023,Festivals,,
,11,Titularitat privada,2023-05-26T00:00:00,2023-05-26T00:00:00,20000,,Barri de Poblenou,Multidisciplinaris i altres,Poblenou Open Day,Poblenou Urban District,56,2023,Festivals,,
