Assistents_fora_de_Barcelona,Edicio,Titularitat,DataInici,DataFi,Assistents_a_Barcelona,Notes_Dades,Espai,Ambit,NomDelFestival,Organitzador,_id,Any,Tipus,Assistents,Nota
,7,Privada,2021-06-30T00:00:00,2021-08-25T00:00:00,2099,Presencial,Poble Espanyol,Música,Nits de Blues,Poble Espanyol de Barcelona,163,2021,Festivals,,
,2,Privada,2021-12-31T00:00:00,2021-12-31T00:00:00,40000,Presencial,Parc del Fòrum,Música,Nits del Fòrum,Primavera Sound,164,2021,Festivals,,
,5,Privada,2021-10-07T00:00:00,2021-10-07T00:00:00,,,,Audiovisuals,NonStop Barcelona Animació,Assoc. Art NonStop,165,2021,Festivals,,
,,Privada,2021-10-29T00:00:00,2021-10-30T00:00:00,9813,Presencial,Poble Espanyol,Música,Off Sónar,Centris Events,166,2021,Festivals,,
,20,Privada,2021-03-05T00:00:00,2021-08-05T00:00:00,,Va celebrar-se únicament en format virtual amb 15.000 usuaris,,Multidisciplinaris i altres,OFFF,Offf Events S.L.,167,2021,Festivals,,
,8,Privada,2021-01-12T00:00:00,2021-06-12T00:00:00,150,"A banda del públic presencial, van registrar-se 3.495 usuaris en línia",Cinema Maldà,Audiovisuals,Offside Fest ,"Kottbusser, S.L",168,2021,Festivals,,
,4,Privada,2021-09-30T00:00:00,2021-10-10T00:00:00,,,,Audiovisuals,Ohlalà!,Oh là là Associació Cultural,169,2021,Festivals,,
,3,Privada,2021-11-25T00:00:00,2021-11-29T00:00:00,3000,Presencial,Utopia 126,Música,Ombra Festival,Ombra Agency,170,2021,Festivals,,
,6,Municipal,2021-01-07T00:00:00,2021-07-23T00:00:00,1569,Presencial,En la xarxa de centres cívics i a l'estiu llocs exteriors propers als centres.,Audiovisuals,Pantalla Barcelona,Institut de Cultura. Ajuntament de Barcelona,171,2021,Festivals,,
,7,Municipal,2021-10-19T00:00:00,2022-02-23T00:00:00,,Presencial,En la xarxa de centres cívics i a l'estiu llocs exteriors propers als centres.,Audiovisuals,Pantalla Barcelona,Institut de Cultura. Ajuntament de Barcelona,172,2021,Festivals,,
,,Privada,2021-06-05T00:00:00,2021-06-05T00:00:00,,,,Multidisciplinaris i altres,Poblenou Open Day,Poblenou Urban District,173,2021,Festivals,,
,,Privada,2021-11-26T00:00:00,2021-11-26T00:00:00,,,,Multidisciplinaris i altres,Poblenou Open Night,Poblenou Urban District,174,2021,Festivals,,
,11,Consorci o fundació amb presència municipal,2021-05-15T00:00:00,2021-05-15T00:00:00,250,Presencial,CCCB,Multidisciplinaris i altres,Primera Persona,CCCB,175,2021,Festivals,,
,4,Privada,2021-10-21T00:00:00,2021-10-24T00:00:00,300,"A banda del públic presencial, van registrar-se 30 usuaris en línia",Centre LGBTI de Barcelona,Lletres,Qlit. Festival de Literatura Queer,Associació d'Escriptors en Llengua Catalana,176,2021,Festivals,,
600,5,Privada,2021-02-11T00:00:00,2021-06-11T00:00:00,750,Presencial,Teatre Tantarantana,Arts escèniques,RBLS Festival Teatre Jove ,Associació LONESTAR CULTURA,177,2021,Festivals,,
,1,Municipal,2021-02-05T00:00:00,2021-05-30T00:00:00,584,Presencial,Castell de Montjuïc,Arts escèniques,Rebombori,Castell de Montjuïc. Institut de Cultura. Ajuntament de Barcelona,178,2021,Festivals,,
,2,Municipal,2021-05-09T00:00:00,2021-09-19T00:00:00,345,Presencial,Castell de Montjuïc,Arts escèniques,Rebombori,Castell de Montjuïc. Institut de Cultura. Ajuntament de Barcelona,179,2021,Festivals,,
,4,Privada,2021-03-12T00:00:00,2021-12-12T00:00:00,4270,"Format mixt, amb activitats presencials i virtuals",Diversos espais de la ciutat,Audiovisuals,Reteena,Associació Reteena Audiovisual,180,2021,Festivals,,
,,Privada,2021-03-07T00:00:00,2021-08-28T00:00:00,,,,Arts escèniques,Riu Estiu. Festival d'Humor d'Estiu de Barcelona,-1,181,2021,Festivals,,
,,Privada,2021-12-17T00:00:00,2021-12-17T00:00:00,,,,Música,ROCKPELSXUKLIS,AFANOC,182,2021,Festivals,,
,7,Mixta,2021-09-04T00:00:00,2021-10-04T00:00:00,,,,Arts escèniques,Rombic,Associació Titellaire de Roquetes+ Ateneu Popular 9 Barris,183,2021,Festivals,,
,1,Privada,2021-04-11T00:00:00,2021-06-11T00:00:00,30,"Format mixt, amb activitats presencials i virtuals",Can Felipa,Audiovisuals,Sabers Migrants,Observatori de Vïdo No Identificat,184,2021,Festivals,,
,3,Privada,2021-07-31T00:00:00,2021-08-29T00:00:00,3320,Presencial,Castell de Montjuïc,Música,Sala Barcelona,ASACC,185,2021,Festivals,,
,19,Privada,2021-02-07T00:00:00,2021-06-08T00:00:00,28000,Presencial,Fossat de Santa Eulàlia - Castell de Montjuïc,Audiovisuals,Sala Montjuïc,Associació Cultural Modiband,186,2021,Festivals,,
,13,Mixta,2021-10-29T00:00:00,2021-10-31T00:00:00,,,,Música,Say it Loud,Coop. Quesoni,187,2021,Festivals,,
,1,Privada,2021-05-06T00:00:00,2021-06-06T00:00:00,4739,Presencial,Castell de Montjuïc,Música,Say it loud al Castell,Icub i Quesoni,188,2021,Festivals,,
,6,Privada,2021-09-11T00:00:00,2021-11-14T00:00:00,,,,Lletres,Séfer Festival del Libro Judío,-1,189,2021,Festivals,,
,8,Privada,2021-10-18T00:00:00,2021-10-24T00:00:00,6500,"A banda del públic presencial, van registrar-se 230.000 usuaris en línia",CCCB,Audiovisuals,Serielizados Fest,"Kottbusser, S.L",190,2021,Festivals,,
,39,Privada,2021-10-09T00:00:00,2021-09-19T00:00:00,12000,Presencial,Moll de la Fusta,Lletres,Setmana del Llibre en Català,Editors.cat,191,2021,Fires,,
,3,Privada,2021-07-17T00:00:00,2021-04-09T00:00:00,19394,"A banda del públic presencial, van registrar-se 1.037 usuaris en línia",Anella Olimpica,Música,Share Festival,Xtra Event & Comunication S.L.,192,2021,Festivals,,
,,Privada,2021-04-23T00:00:00,2021-05-26T00:00:00,,,,Arts escèniques,Simbiòtic Festival,We Act Assoc.,193,2021,Festivals,,
14500,11,Privada,2021-07-01T00:00:00,2021-12-16T00:00:00,5500,"A banda del públic presencial, van registrar-se 400 usuaris en línia",,Música,SIMFONIC,Associació SIMFONIC,194,2021,Festivals,,
,,Privada,2021-10-16T00:00:00,2021-11-14T00:00:00,,,,Música,Soundeat,-1,195,2021,Festivals,,
,28,Privada,2021-03-11T00:00:00,2021-11-11T00:00:00,3500,"A banda del públic presencial, van registrar-se 77.000 usuaris en línia",Cinemes Girona,Audiovisuals,SUNCINE. Festival internacional de cine del medio ambiente,ACCIONS 3E,196,2021,Festivals,,
,14,Privada,2021-07-10T00:00:00,2021-10-10T00:00:00,10000,"Format mixt, amb activitats presencials i virtuals",Fira de Barcelona. Pevelló Italià,Arts visuals,Swab Barcelona,Espacio de Arte Contemporaneo Diezy7,197,2021,Fires,,
,,Privada,2021-06-15T00:00:00,2021-09-26T00:00:00,,,,Multidisciplinaris i altres,Terrats en cultura,Coincidències,198,2021,Festivals,,
,1,Privada,2021-11-15T00:00:00,2021-02-12T00:00:00,40,"Format mixt, amb activitats presencials i virtuals",CCCB i CC Pati Llimona,Audiovisuals,The Purple Meridians,Observatori de Vïdo No Identificat,199,2021,Festivals,,
,1,Municipal,2021-04-07T00:00:00,2021-07-25T00:00:00,460,Presencial,Castell de Montjuïc,Música,Upper Montjuïc,Castell de Montjuïc. Institut de Cultura. Ajuntament de Barcelona,200,2021,Festivals,,
,,Privada,2021-12-18T00:00:00,2021-12-20T00:00:00,,,,Multidisciplinaris i altres,URBAN CREATIVE DISTRICT,Poblenou Urban District,201,2021,Festivals,,
,16,Municipal,2021-07-13T00:00:00,2021-07-22T00:00:00,,,,Música,Vespres d'estiu,Castell de Montjuïc. Institut de Cultura. Ajuntament de Barcelona,202,2021,Festivals,,
,1,Privada,2021-07-18T00:00:00,2021-08-29T00:00:00,1716,Presencial,Poble Espanyol,Música,Vespres de rumba,Poble Espanyol de Barcelona,203,2021,Festivals,,
,1,Municipal,2021-10-16T00:00:00,2021-10-17T00:00:00,37000,Presencial,Diversos espais de la muntanya de Montjuïc,Multidisciplinaris i altres,Viu Montjuïc,Icub i Districte de Sants Montjuïc. Ajuntament de Barcelona,204,2021,Festivals,,
,53,Privada,2021-01-20T00:00:00,2021-12-31T00:00:00,18144,"Format mixt, amb activitats presencials i virtuals",,Música,Voll-Damm Festival de Jazz de Barcelona,The Project Music Company,205,2021,Festivals,,
,5,Municipal,2021-06-07T00:00:00,2021-07-23T00:00:00,100,Presencial,A la Biblioteca Bonnemaison i al CC Convent de Sant Agustí,Música,Zero3. Altaveu d'Accions Culturals,Centre Cívic Convent de Sant Agustí. Ajuntament de Barcelona,206,2021,Festivals,,
,16,Privada,2021-05-28T00:00:00,2021-06-06T00:00:00,,Presencial,Cinemes Girona,Audiovisuals,Zinemaldia,Centre Cultural Euskal Etxea,207,2021,Festivals,,
,18,Municipal,2020-06-11T00:00:00,2020-10-12T00:00:00,,Presencial i en línia,Centre Cívic Besos i Online,Música,(In)fusión Flamenca. Cicle de Flamenc al Besòs,Centre Cívic Besos,1,2020,Festivals,,
,11,Privada,2020-10-15T00:00:00,2020-11-15T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Arts visuals,48H Open House BCN,Associació 48h Open House Barcelona,2,2020,Festivals,40299,
,4,Privada,2020-10-12T00:00:00,2020-12-20T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Arts escèniques,Africa Moment,Associació Africa Moment,3,2020,Festivals,800,
,7,Privada,2020-03-03T00:00:00,2020-08-03T00:00:00,,Presencial,"Cinemes Girona, Zumzeig i Filmoteca de Catalunya",Audiovisuals,Americana Film Fest,Associacio Cultural per la Difusió del Cinema Nord-Americà,4,2020,Festivals,,
,9,Privada,2020-04-12T00:00:00,2020-06-12T00:00:00,,Presencial,Castell de Montjuïc,Música,AMFest,Associació AMF,5,2020,Festivals,1050,
,6,Privada,2020-12-05T00:00:00,2020-05-15T00:00:00,,En línia,Online,Audiovisuals,Arqu [in] FILM,ARQ-INFAD,6,2020,Festivals,,
,14,Privada,2020-10-19T00:00:00,2020-11-16T00:00:00,,En línia,Online,Multidisciplinaris i altres,ARQUINSET,ARQ-INFAD,7,2020,Festivals,,
,7,Privada,2020-03-09T00:00:00,2020-12-31T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Arts visuals,Art Photo BCN,Art Photo Bcn ,8,2020,Festivals,1900,
,11,Privada,2020-07-23T00:00:00,2020-07-26T00:00:00,,En línia,Online,Lletres,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona",Raíña Lupa | ArtsLibris,9,2020,Fires,,
,8,Privada,2020-10-28T00:00:00,2020-08-12T00:00:00,,Presencial i en línia,Cinemes Girona i online,Audiovisuals,Asian Film Festival,Casa Asia,10,2020,Festivals,1348,
,8,Privada,2020-07-07T00:00:00,2020-07-16T00:00:00,,Presencial,Diversos espais de la ciutat,Música,Bachcelona,Fundació BZM,11,2020,Festivals,,
,28,Municipal,2020-09-24T00:00:00,2020-09-27T00:00:00,,Presencial i en línia,Diversos espais de la ciutat,Música,BAM. Barcelona Acció Musical,Institut de Cultura. Ajuntament de Barcelona,12,2020,Festivals,6400,
,10,Municipal,2020-10-25T00:00:00,2020-10-25T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Arts visuals,Barcelona Dibuixa,Institut de Cultura. Ajuntament de Barcelona,13,2020,Festivals,2592,
,7,Municipal,2020-01-02T00:00:00,2020-09-30T00:00:00,,Covid-19: la majoria dels bolos suspesos a partir de l'11 de març es van traslladar als mesos de juliol i setembre.,21 centres cívics de la ciutat i Online,Multidisciplinaris i altres,Barcelona Districte Cultural,Institut de Cultura. Ajuntament de Barcelona,14,2020,Festivals,13371,
,8,Municipal,2020-01-10T00:00:00,2020-12-31T00:00:00,,Presencial,29 centres cívics de la ciutat,Multidisciplinaris i altres,Barcelona Districte Cultural,Institut de Cultura. Ajuntament de Barcelona,15,2020,Festivals,5831,
,16,Privada,2020-07-07T00:00:00,2020-07-17T00:00:00,,Presencial i en línia,Biblioteca de Catalunya i Online,Música,Barcelona Festival of Song,Patricia Caicedo,16,2020,Festivals,60,
,6,Privada,2020-09-17T00:00:00,2020-12-31T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Arts visuals,Barcelona Gallery Weekend,Art Barcelona Associació de Galeries,17,2020,Festivals,6000,
,8,Municipal,2020-09-11T00:00:00,2020-11-14T00:00:00,,En línia,Online,Lletres,Barcelona Novel·la Històrica,Institut de Cultura. Ajuntament de Barcelona,18,2020,Festivals,,
,7,Consorci o fundació amb presència municipal,2020-11-18T00:00:00,2020-11-19T00:00:00,,En línia,Online,Multidisciplinaris i altres,Barcelona Pensa,Facultat de Filosofia de la Universitat de Barcelona,19,2020,Festivals,,
,23,Municipal,2020-10-13T00:00:00,2020-10-18T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Lletres,Barcelona Poesia,Institut de Cultura. Ajuntament de Barcelona,20,2020,Festivals,1877,
,25,Privada,2020-01-24T00:00:00,2020-03-14T00:00:00,,Presencial,Diversos espais de la ciutat,Música,BarnaSants,ASSOCIACIÓ REPÚBLICA DE LA CULTURA,21,2020,Festivals,,
,9,Privada,2020-03-10T00:00:00,2020-04-10T00:00:00,,Presencial i en línia,Online,Multidisciplinaris i altres,BAUM Festival,Urban line concept events,22,2020,Festivals,30,
,15,Privada,2020-11-17T00:00:00,2020-11-26T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Arts visuals,BCN Design Week,BCD ¿ Barcelona Centre de Disseny + FAD ¿ Foment de les Arts i del Disseny,23,2020,Festivals,,
,15,Municipal,2020-01-30T00:00:00,2020-09-02T00:00:00,,Presencial,Diversos espais de la ciutat,Lletres,BCNegra. Trobada de Novel·la Negra de Barcelona,Institut de Cultura. Ajuntament de Barcelona,24,2020,Festivals,12097,
,12,Municipal,2020-10-23T00:00:00,2020-10-24T00:00:00,,En línia,Online,Multidisciplinaris i altres,Blanc Festival,Musseu del Disseny,25,2020,Festivals,,
,3,Privada,2020-01-10T00:00:00,2020-03-10T00:00:00,,Presencial,CCCB,Audiovisuals,Brain Film Fest,"Fundació Pasqual Maragall, Fundació Uszheimer, Minimal Films, Albert Solé",26,2020,Festivals,,
,5,Municipal,2020-01-18T00:00:00,2020-03-21T00:00:00,,Presencial,Centre Cultural la Farinera del Clot,Música,"Caliu, cicle de música d'hivern",Centre cultural la Farinera del Clot,27,2020,Festivals,,
,8,Privada,2020-09-14T00:00:00,2020-09-28T00:00:00,,Presencial i en línia,Online i Filmoteca de Catalunya,Audiovisuals,Choreoscope Festival Internacional de Cinema de Dansa de Barcelona,Assoc. Choreoscope,28,2020,Festivals,246,
,9,Mixta,2020-10-22T00:00:00,2020-12-31T00:00:00,,Presencial - Data de finalització 29/01/2021,Filmoteca de Catalunya,Audiovisuals,Cinema Alemany Actual,Goethe-Institut Barcelona,29,2020,Festivals,1410,
,4,Privada,2020-05-10T00:00:00,2020-10-29T00:00:00,,Presencial,Biblioteques de Barcelona,Audiovisuals,Cinema Lliure a la Biblioteca,Mago Audiovisual Production,30,2020,Festivals,,
,9,Privada,2020-07-30T00:00:00,2020-08-23T00:00:00,,Presencial,CEM La Mar Bella,Audiovisuals,Cinema Lliure a la Platja,Mago Audiovisual Production,31,2020,Festivals,,
,7,Privada,2020-10-13T00:00:00,2020-10-18T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Audiovisuals,CineMigrante,"Fundaciò Gunè. Co-colaboracion INCAA, UNSaM, OIM i ACNUR.",32,2020,Festivals,,
,21,Municipal,2020-10-16T00:00:00,2020-10-18T00:00:00,,Presencial,Carrer Benavent / Plaza de las Ceramicas Vicens,Arts escèniques,Circorts,Ajuntament de Barcelona,33,2020,Festivals,,
,6,Mixta,2020-09-02T00:00:00,2020-02-27T00:00:00,,Presencial,Ateneu Popular 9 Barris,Multidisciplinaris i altres,Cìtric,Ateneu Popular 9 Barris,34,2020,Festivals,,
,27,Privada,2020-10-24T00:00:00,2020-12-27T00:00:00,,Presencial,Diversos espais de la ciutat,Música,Ciutat Flamenco,Fundació Privada Taller de Músics,35,2020,Festivals,928,
,2,Municipal,2020-10-13T00:00:00,2020-10-18T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Multidisciplinaris i altres,Ciutat Oberta Biennal de pensament,Institut de Cultura. Ajuntament de Barcelona,36,2020,Festivals,5272,
,1,Privada,2020-01-07T00:00:00,2020-07-08T00:00:00,,Presencial,Diversos espais de la ciutat,Multidisciplinaris i altres,Cruïlla XXS,Barcelona Events Musicals,37,2020,Festivals,39156,
,10,Privada,2020-04-30T00:00:00,2020-10-05T00:00:00,,Presencial i en línia,Online,Audiovisuals,D'A Film Festival Barcelona,Noucinemart,38,2020,Festivals,,
,4,Privada,2020-11-26T00:00:00,2020-12-15T00:00:00,,Presencial i en línia,Cinemes Girona i online,Arts visuals,DART- Festival de Cinema Documental ,Associació Cultural Dart,39,2020,Festivals,300,
,9,Municipal,2020-11-14T00:00:00,2020-11-15T00:00:00,,En línia,Online,Multidisciplinaris i altres,DAU Barcelona,Institut de Cultura. Ajuntament de Barcelona,40,2020,Festivals,,
,5,Privada,2020-10-17T00:00:00,2020-12-19T00:00:00,,Presencial i en línia,Lluïsos de Gràcia i Online,Música,Desconnecta,Lluïsos de Gràcia,41,2020,Festivals,100,
,23,Privada,2020-05-19T00:00:00,2020-05-31T00:00:00,,En línia,Online,Audiovisuals,DocsBarcelona,Parallel40,42,2020,Festivals,,
,24,Privada,2020-11-12T00:00:00,2020-12-31T00:00:00,,Presencial i en línia - Data de finalització 05/01/2021,Diversos espais de la ciutat,Arts visuals,Drap-Art. Festival Internacional de Reciclatge Artístic de Catalunya,Drap-Art,43,2020,Festivals,1880,
,8,Privada,2020-12-19T00:00:00,2020-12-19T00:00:00,,Presencial i en línia,CCCB i Online,Audiovisuals,El dia més curt. La festa del curtmetratge,Catalunya Film Festivals i Marvin&Wayne ,44,2020,Festivals,,
,15,Privada,2020-11-14T00:00:00,2020-11-29T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Arts escèniques,El Més Petit de Tots,Rialles espectacles Infantils i juvenils,45,2020,Festivals,,
,13,Privada,2020-11-13T00:00:00,2020-04-12T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Audiovisuals,El Meu Primer Festival,Associació Cultural MODIband,46,2020,Festivals,670,
,16,Consorci o fundació amb presència municipal,2020-07-16T00:00:00,2020-07-16T00:00:00,,Presencial i en línia,Jardins Edifici Històric i Online,Música,Els vespres a la UB,Universitat de Barcelona,47,2020,Festivals,20,
,5,Consorci o fundació amb presència municipal,2020-07-02T00:00:00,2020-02-28T00:00:00,,Presencial,Paranimf Edifici Històric UB,Música,Els vespres d'hivern. Concerts al Paranimf de la UB,Universitat de Barcelona,48,2020,Festivals,,
,10,Municipal,2020-07-16T00:00:00,2020-07-30T00:00:00,,Presencial,Centre Cultural la Farinera del Clot ,Multidisciplinaris i altres,Endorfines,Centre Cultural La Farinera del Clot,49,2020,Festivals,,
,19,Privada,2020-10-22T00:00:00,2020-10-25T00:00:00,,Presencial i en línia,Diversos espais de la ciutat i Online,Arts escèniques,Escena Poblenou,Associació Festival de Creació Contemporània del Poblenou,50,2020,Festivals,2500,
,7,Privada,2020-06-11T00:00:00,2020-07-11T00:00:00,,En línia,Online,Arts visuals,European Creativity Festival,Arts Directors Club of Europe (ADCE),51,2020,Festivals,,
,28,Privada,2020-02-10T00:00:00,2020-12-31T00:00:00,,Presencial i en línia - Data de finalització 14/01/2021,Ca La Dona i online,Arts visuals,Fem Art,Col·lectiu FemArt,52,2020,Festivals,250,
,3,Municipal,2020-09-19T00:00:00,2020-09-19T00:00:00,,Presencial,Castell de Montjuïc,Música,"FemPop, el festival que no vol existir",Castell de Montjuïc,53,2020,Festivals,,
,6,Privada,2020-01-01T00:00:00,2020-03-03T00:00:00,,Presencial - Data d'inici 08/10/2019,Sala Beckett,Lletres,Festival Alcools. Poesia en escena (Gener - Maig),Fundació Sala Beckett / Obrador Internacional de Dramatúrgia i la Institució de les Lletres Catalanes,54,2020,Festivals,,
,11,Privada,2020-10-31T00:00:00,2020-10-31T00:00:00,,En línia,Online,Audiovisuals,Festival Antic Horror Picture Show,Antic Teatre i Guillem Puig,55,2020,Festivals,,
,17,Municipal,2020-09-12T00:00:00,2020-12-18T00:00:00,,Presencial i en línia,"Espais Joves (EJ Boca Nord, EJ La Bàscula, EJ Garcilaso) i Online",Audiovisuals,Festival Barcelona VisualSound,"Departament de Joventut, Ajuntament de Barcelona",56,2020,Festivals,103,
,8,Privada,2020-11-24T00:00:00,2020-06-12T00:00:00,,Presencial i en línia,CaixaForum i Online,Audiovisuals,Festival Inclús,Associació Inclús,71,2020,Festivals,646,
,10,Municipal,2020-12-17T00:00:00,2020-12-31T00:00:00,,Presencial i en línia - Data de finalització 22/03/2021,Espais Joves: Espai Jove La Fontana i Espai Jove Les Basses i Online,Música,Festival Brot,"Departament de Joventut, Ajuntament de Barcelona",57,2020,Festivals,,
,6,Privada,2020-02-14T00:00:00,2020-02-15T00:00:00,,Presencial,Fabra i Coats: Fàbrica de Creació,Música,Festival Cara - B,Associació Isla Elefante Projectes Culturals,58,2020,Festivals,,
,16,Privada,2020-10-22T00:00:00,2020-10-30T00:00:00,,Presencial,SAT! sant Andreu Teatre,Arts escèniques,Festival Dansat,SAT! sant Andreu Teatre,59,2020,Festivals,,
,18,Privada,2020-01-07T00:00:00,2020-12-07T00:00:00,,Presencial i en línia,Pati de la Seu del Districte de Nou Barris i Online,Música,Festival de Blues de Barcelona,Associació Capibola Blues,60,2020,Festivals,,
,17,Privada,2020-01-12T00:00:00,2020-12-31T00:00:00,,Presencial i en línia - Data de finalització 07/03/2021,Online,Audiovisuals,Festival de Cinema i Drets Humans de Barcelona,Drets en acció,61,2020,Festivals,1000,
,22,Privada,2020-11-09T00:00:00,2020-09-30T00:00:00,,Presencial,Filmoteca de Catalunya,Audiovisuals,Festival de Cinema Jueu de Barcelona,Ass- Festival de Cinema Jueu de Barcelona,62,2020,Festivals,2000,
,18,Privada,2020-05-11T00:00:00,2020-08-11T00:00:00,,En línia,Online,Multidisciplinaris i altres,Festival de Cultura Raval(s),Fundació Tot Raval,63,2020,Festivals,,
,25,Municipal,2020-04-08T00:00:00,2020-08-27T00:00:00,,Presencial,Jardins de Joan Maragall i Park Güell,Música,Festival de Música als Parcs,Ajuntament de Barcelona,64,2020,Festivals,2500,
,15,Privada,2020-01-24T00:00:00,2020-01-03T00:00:00,,Presencial,La Puntual,Arts escèniques,Festival de Putxinel·lis d'Hivern,La Puntual S.L.,65,2020,Festivals,920,
,4,Privada,2020-04-02T00:00:00,2020-02-16T00:00:00,,Presencial,Diversos espais de la ciutat,Arts escèniques,"Festival de T(h)eatre en Français, Oui!",Mise en Lumière,66,2020,Festivals,,
,11,Privada,2020-03-10T00:00:00,2020-04-10T00:00:00,,Presencial,Poble Espanyol de Barcelona,Arts escèniques,Festival de Titelles de Barcelona,Poble Espanyol ,67,2020,Festivals,1870,
,21,Privada,2020-01-01T00:00:00,2020-12-31T00:00:00,,Covid-19: la 21a edició del festival es va iniciar l'octubre de 2019. Els concerts suspesos per la pandèmia es van traslladar al darrer terç de l'any i el festival es va allargar fins desembre de 2020 de manera excepcional.,Diversos espais de la ciutat,Música,Festival del Mil·lenni,Concert Studio,68,2020,Festivals,,
,4,Consorci o fundació amb presència municipal,2020-08-03T00:00:00,2020-03-17T00:00:00,,Presencial,L'Auditori,Música,Festival Emergents Barcelona,Consorci de l'Auditori i l'Orquestra,69,2020,Festivals,,
,33,Privada,2020-10-01T00:00:00,2020-03-04T00:00:00,,Presencial,CAT Centre Artesà Tradicionàrius,Música,Festival Folk Internacional Tradicionàrius,Associació Cultural per la Tradició Musical TRAM,70,2020,Festivals,,
,55,Privada,2020-06-07T00:00:00,2020-12-31T00:00:00,,En línia - Data de finalització 12/02/2021,Online,Música,Festival Internacional de Cant Coral a Barcelona,Federació catalana d'entitats corals,72,2020,Festivals,,
,4,Privada,2020-06-25T00:00:00,2020-02-07T00:00:00,,Presencial i en línia,Cinemes Verdi i online,Audiovisuals,Festival Internacional de Cine de Barcelona - Sant Jordi,ESPECTARAMA S.A.,73,2020,Festivals,,
,10,Privada,2020-12-15T00:00:00,2020-12-19T00:00:00,,Presencial,,Audiovisuals,Festival Internacional de cine Nunes,A.I.P.D.A,74,2020,Festivals,,
,11,Privada,2020-03-03T00:00:00,2020-08-03T00:00:00,,Presencial i en línia,Diversos espais de la ciutat,Música,Festival Internacional de Creatividad Digital MUTEK.ES,Asociación MUTEK.ES,75,2020,Festivals,7500,
,2,Privada,2020-09-14T00:00:00,2020-09-19T00:00:00,,En línia,Online,Música,"Festival Internacional de Guitarra ""Ferran Sor""",Societat Sor de Barcelona,76,2020,Festivals,,
,52,Privada,2020-10-28T00:00:00,2020-12-31T00:00:00,,Presencial i en línia - Data de finalització 09/06/2021,Diversos espais de la ciutat i Online,Música,Festival Internacional de Jazz de Barcelona,"The Project Music Company, S.L.",77,2020,Festivals,12423,
,8,Privada,2020-09-07T00:00:00,2020-08-16T00:00:00,,Presencial,Jardins Pedralbes,Música,Festival Jardins de Pedralbes,Concert Studio,78,2020,Festivals,20168,
,30,Privada,2020-09-19T00:00:00,2020-09-26T00:00:00,,Presencial,Fora de Barcelona,Música,Festival l'Hora del Jazz. Memorial Tete Montoliu,ASSOCIACIÓ DE MÚSICS DE JAZZ I MÚSICA MODERNA DE CATALUNYA (AMJM),79,2020,Festivals,,
,4,Consorci o fundació amb presència municipal,2020-09-30T00:00:00,2020-03-10T00:00:00,,Presencial,Diversos espais de la ciutat,Lletres,Festival Literatura en Trànsit,Biblioteques de Barcelona,80,2020,Festivals,,
,2,Consorci o fundació amb presència municipal,2020-04-02T00:00:00,2020-02-16T00:00:00,,Presencial,Diversos espais de la ciutat,Música,Festival Llums d'Antiga,Consorci de l'Auditori i l'Orquestra,81,2020,Festivals,,
,8,Privada,2020-05-10T00:00:00,2020-05-10T00:00:00,,En línia,Online,Multidisciplinaris i altres,Festival Matsuri,Asociación de Cultura Japonesa,82,2020,Festivals,,
,26,Mixta,2020-11-28T00:00:00,2020-11-28T00:00:00,,En línia,Online,Audiovisuals,Festival Miniput,"UPF, Blanquerna, UAB,
Tecnocampus, TV3, betevé, CCCB.",83,2020,Festivals,,
,9,Privada,2020-10-09T00:00:00,2020-10-19T00:00:00,,Presencial i en línia,Fabra i Coats: Fàbrica de Creació I Online,Multidisciplinaris i altres,Festival Mixtur,Associació Col·lectiu Mixtur,84,2020,Festivals,278,
,11,Privada,2020-06-03T00:00:00,2020-03-15T00:00:00,,Presencial,Diversos espais de la ciutat,Arts escèniques,Festival Mutis. Festival de Teatre Independent de Barcelona,La Coquera Teatro,85,2020,Festivals,,
,6,Privada,2020-04-09T00:00:00,2020-06-09T00:00:00,,Presencial,Castell de Montjuïc,Arts escèniques,Festival Pindoles,Associació Isla Elefante Projectes Culturals,86,2020,Festivals,1800,
,8,Consorci o fundació amb presència municipal,2020-01-30T00:00:00,2020-02-16T00:00:00,,Presencial,Diversos espais de la ciutat,Arts escèniques,Festival Sâlmon d'Arts Vives de Barcelona,Mercat de les flors - ICUB - Graner,87,2020,Festivals,5147,
,7,Privada,2020-07-15T00:00:00,2020-09-23T00:00:00,,Presencial,Diversos espais de la ciutat,Música,Festival Talent,Fundació Privada Taller de Músics,88,2020,Festivals,324,
